Protein_A,Protein_B
carB,carA
PRNP,groEL
malE,malG
xerC,xerD
pntA,pntB
gam,sbcC
recB,gam
recB,abc2
recR,recO
ssb,recO
fliG,fliF
hns,fliG
fliM,fliN
atpA,atpD
atpC,atpG
atpH,atpA
atpD,atpH
atpH,atpG
atpC,atpH
fliM,fliG
rpsT,speF
rpmH,speF
recF,recO
cysN,cysD
nadB,nadA
sucC,sucD
ftsZ,zipA
trpA,trpB
atpG,atpA
atpG,atpE
atpD,atpG
atpE,atpH
ebgC,ebgA
cheA,cheY
pyrI,pyrB
atpB,atpE
ptsH,crr
tufA,tsf
trxB,trxA
papK,papD
dnaK,grpE
lipA,groEL
rpoA,rpoB
groEL,aroH
groEL,metE
metF,groEL
groEL,metK
leuA,groEL
groEL,dadA
groEL,gadA
lpdA,groEL
groEL,gatD
groEL,gatZ
groEL,gatY
groEL,eno
gapA,groEL
nagD,groEL
pta,groEL
glf,groEL
groEL,rcsB
purC,groEL
pyrB,groEL
groEL,upp
thiD,groEL
thiG,groEL
thiH,groEL
bioF,groEL
rpoB,groEL
rpoZ,groEL
rplL,groEL
rplI,groEL
groEL,rpsB
pheS,groEL
pheT,groEL
glyS,groEL
groEL,thrS
groEL,nusA
nusG,groEL
groEL,sspB
groEL,gyrA
yjjU,groEL
rpoA,fis
crp,cytR
tufA,groEL
groEL,ilvI
groEL,rpoA
tdh,groEL
clpX,groEL
grpE,groEL
minD,groEL
pstB,groEL
ftnA,groEL
yigB,groEL
tus,dnaB
groEL,recA
sulA,ftsZ
minD,minC
evgA,evgS
gcvA,gcvR
rpoC,rpoB
ihfA,ihfB
iscA,fdx
iscU,iscS
aes,malT
secA,secY
cheY,arcB
hisJ,hisQ
cpoB,tolA
traK,traV
traB,traK
mutL,vsr
malG,malK
malK,malF
sbmC,gyrA
sbmC,gyrB
relB,relE
pabB,pabA
secA,secB
rpsJ,nusB
ccmE,ccmF
ccmH,ccmF
tatB,tatA
rseA,rseB
rseA,rpoE
rpoE,rseB
secY,secE
secG,secY
hlyB,hlyD
hlyD,hlyA
hlyA,hlyB
tolC,hlyD
dnaB,dnaC
hscB,iscU
hscA,iscU
fdx,iscS
CD44,iscS
iscA,hscA
fdx,hscA
tolA,ompF
tolR,tolQ
dnaB,dnaA
ssb,sbcB
exbD,exbB
dnaA,repA
dnaA,pir
B,dnaB
dnaB,dnaG
rhlB,rne
eno,rne
rne,dnaK
rhlB,pnp
dnaK,pnp
fecA,fecR
fecI,fecR
rpoA,crp
groEL,groES
hsdM,hsdS
galF,galU
rpoC,bglG
recA,umuD
cI,recA
recA,lexA
umuD,umuC
aes,melA
cheY,fliM
secA,secG
secA,ftsQ
ftsQ,secY
yidC,ftsQ
VIII,yidC
ffh,VIII
cheZ,cheY
ftsZ,ftsA
mutL,uvrD
hscB,hscA
eno,pnp
bglF,bglG
sopB,sopA
rne,pnp
mutS,mutL
mutH,mutS
uvrD,mutS
acrA,acrB
tolR,tolA
tolA,tolQ
moaD,moeB
moaE,moaD
dinI,recA
btuD,btuC
atpH,atpF
rpoC,rpoD
rpoC,rpoA
tar,cheR
rpoZ,rpoC
rpoA,rpoZ
cheA,cheZ
recX,recA
hupB,hupA
glnB,glnK
glnL,glnB
clpA,clpS
clpA,clpP
clpX,clpP
pal,ompA
malY,malT
imm,colE7
imm,col
imm,ceaC
mazG,era
rho,nusG
rpoA,nusA
nusA,rpoB
rpoC,nusA
sbcD,sbcC
frdB,frdA
frdC,frdB
frdC,frdD
frdD,frdB
frdC,frdA
moeA,mog
moeA,mobA
moeA,mobB
mutH,mutL
sdhC,sdhB
sdhD,sdhB
hsdM,hsdR
hsdR,hsdS
uvrY,barA
sdhC,sdhD
tatB,tatC
arsB,arsA
rpoC,fecI
pspF,pspA
mog,mobB
mobB,mobA
narG,narJ
crr,lacY
ptsI,ackA
mucA,mucB
mucA,recA
ssb,mucA
ssb,mucB
atpE,atpC
atpE,atpF
atpF,atpB
atpB,atpD
atpD,atpF
atpF,atpA
rpoH,dnaJ
dnaK,rpoH
dnaK,dnaJ
ftsI,ftsA
secE,secA
dnaN,dnaX
parC,parE
traQ,traA
prfB,rpsR
rpsR,rplL
minC,ftsZ
minD,minE
dnaJ,grpE
rpoH,grpE
malG,malF
glnL,glnK
glnG,glnL
aspA,glnL
cusB,cusF
cusC,cusF
rpoD,rsd
rpoD,melR
rpoA,melR
rpoD,rpoA
napH,napC
ftsK,ftsZ
ftsQ,ftsL
ftsQ,ftsN
ftsQ,ftsI
ftsQ,ftsW
ftsQ,ftsK
ftsL,ftsW
ftsK,ftsL
ftsI,ftsN
ftsN,ftsW
ftsI,ftsW
ftsI,ftsK
zipA,ftsA
seqA,parC
rpoB,rpoN
rpoB,fliA
rpoC,rpoN
rpoA,rpoN
rpoA,fliA
rsd,rpoN
rsd,rpoS
rsd,rpoH
rsd,fliA
dnaE,dnaQ
holE,dnaQ
mlc,ptsG
ptsG,crr
holB,holA
dnaX,holA
holC,holD
dnaX,holD
dnaX,holC
holC,holA
holC,holB
holD,holB
dnaX,dnaE
dnaN,dnaE
holA,dnaE
dnaN,holA
rpoB,rsd
rpoA,merR
rpoB,merR
merR,rpoD
hfq,pcnB
pcnB,pnp
pnp,hfq
rpoA,soxS
ftsK,parC
parE,ftsK
cesT,escN
tir,cesT
tir,escN
holE,dnaE
skp,phoE
dnaN,hda
holC,dnaN
malK,malT
rplL,rplJ
rplK,rplL
rplB,rplL
rplL,rpsB
rpsE,rplL
rpsG,rplL
rpsN,rplL
rplL,rplF
rplI,rplL
rplN,rplL
rplQ,rplL
rplK,rplJ
rplF,rplE
rplQ,rpmF
rplL,infB
rplC,rplS
rplU,rplM
rplS,rplN
rplI,rplB
rplC,rplM
rplI,rpmB
rplT,rplM
rplP,rpmA
rplU,rplT
rpmB,rplB
rplS,rplY
rpmH,rplW
rpsM,rpsC
rpsM,rpsU
rpsS,rpsN
rpsL,rpsG
rpsI,rpsM
rpsU,rpsK
rpsF,rpsU
rpsR,rpsU
rpsF,rpsR
rplF,rplS
rplV,rplR
rpmA,rpmG
rpsR,rpsA
rpsA,rpsB
rpsA,rpsJ
prfB,rplB
rplK,prfB
rpmF,rplV
rpsD,rpsC
rpsE,rpsC
rpsD,rpsE
rplA,rpsD
rpsE,rplA
rplS,rpsI
rpsH,rpsE
rpsB,rpsC
infC,rpsK
infC,rpsM
infC,rpsS
infB,infA
hns,hha
stpA,hha
hns,stpA
rplA,rpsB
rplS,rpsD
rplA,rpsH
rpmB,rpsH
rpmF,rpsI
rpsL,rplM
rplP,rpsL
rpsL,rpmF
rplR,rpsM
rplU,rpmG
dcuS,dcuR
flhD,flhC
rplS,rplR
dicB,minC
fliA,rpoC
rsd,rpoE
holA,holD
rplE,rplL
rpmC,rplW
rpsF,prfB
rpsG,infC
traD,traM
cysB,rpoA
rpsQ,prfB
dnaB,dnaX
rpoD,hscC
rpoB,rpoD
rsd,rpoC
rsd,rpoA
rpoZ,rsd
rpoZ,rpoB
rpoD,rpoZ
parD,parE
rhaS,rpoD
ompA,skp
secA,ompA
rpsS,rpsM
infA,rpsL
infA,rpsR
rpsM,infB
cnu,hns
stpA,cnu
glgP,ptsH
holB,dnaX
dnaQ,dnaN
rplA,rpmG
rpmD,rplQ
infC,infB
rpsL,rplU
ada,rpoD
prfB,rplL
rpsH,rpsD
dnaN,accC
bluF,groEL
lpdA,paaX
rplV,paaX
fadJ,fadI
perR,metN
wcaC,metN
pdeA,metN
yhjB,metN
accA,accD
dnaK,accA
metN,mntR
gyrB,metN
metN,hycG
nanY,metN
infB,accA
accA,lysU
accA,rplC
rplR,accA
accA,rplW
accA,accC
accC,accD
accC,cysM
accD,dnaK
accD,pepD
accD,rplU
rplV,accD
acpP,aas
accA,acpP
aceE,acpP
aidB,acpP
acpP,fabB
hupB,acpP
acpP,lpdA
acpP,lpxD
acpP,malT
acpP,mukB
rplO,acpP
acpP,rpmB
acpP,rpsF
rpsG,acpP
rpsH,acpP
rpsM,acpP
rpsB,adhE
aidB,hldD
rplM,aidB
aidB,rpsS
yahF,adiA
dnaK,aidB
aidB,groEL
rplA,aidB
rplC,aidB
aidB,rplS
aidB,rplU
aidB,rplV
aidB,rpmB
rpsB,aidB
aidB,rpsD
aidB,rpsG
rpsL,aidB
aidB,rpsN
aidB,rpsT
yhbY,aidB
alaS,dnaK
alaS,rpsB
alaS,tufA
aroE,yedE
dnaK,aspA
secA,aspA
rplW,atpG
ycbX,cysJ
bluF,aceE
lpdA,bluF
bluF,rplL
grcA,bluF
rbbA,dhaK
aceE,ycjY
paaX,rplC
paaX,rplM
paaX,rplO
paaX,rpsG
rpsL,paaX
dsbG,ydjI
ydjI,cbrA
cedA,aceE
hns,cedA
cedA,rplC
cedA,rpoB
cedA,rpoC
rpoD,cedA
rpoZ,cedA
astD,mutH
ydeP,ydjI
rplL,ydjI
fbaB,dnaJ
dnaK,fbaB
groEL,fbaB
cnoX,fbaB
arnA,ynbC
fadI,lpdA
hldD,fadI
maeB,nrdA
pepN,fadJ
rplS,fadI
rplU,fadI
maeB,ynbB
maeB,hrpA
secA,acpP
yhdY,accC
ydgJ,cobB
panC,yfcD
dnaK,accC
accD,rpmG
acpP,rplV
aidB,rpsF
cysI,ycbX
paaX,rplT
yfdH,fadJ
rplU,paaX
fabF,acpP
yhbY,acpP
acpP,fabY
rplB,adiA
adiA,rplO
rplL,kbaY
rpsE,aidB
sxy,cobB
cedA,rpoA
fadI,rpsE
metN,ilvD
accA,rplV
accC,rplC
sucA,adiA
rpmB,paaX
maeB,cca
spoT,acpP
lpdA,fadJ
csdA,gcd
clpA,cbpA
rpsE,cbpA
rplM,clpA
rpmC,clpA
clpB,rplU
rplJ,clpP
tufA,clpP
clpX,rpmG
rpsN,cspA
cspD,cspC
dnaJ,cspC
rplC,cspD
rpsU,cspD
rng,dnaK
mukB,clpA
clpP,groEL
cspA,rplC
rpsA,cspC
maeB,pgrR
bglG,ydiM
birA,rplU
birA,rplV
rpsN,birA
grxD,bolA
miaB,bolA
aceE,cadA
cadA,cobB
dnaN,cadA
ldcC,cadA
cadA,lpdA
rplC,cadA
cadA,rplE
cadA,rpsB
rpsJ,cadA
secA,cadA
rng,rpsD
rng,rpsE
aidB,cbpA
clpB,cbpA
