Key_Proteins,Non_Key_Proteins
groEL,carB
xerC,carA
ssb,PRNP
hns,malE
fliN,malG
atpC,xerD
rpsT,pntA
rpmH,pntB
ftsZ,gam
zipA,sbcC
tufA,recB
tsf,abc2
dnaK,recR
grpE,recO
lipA,fliG
rpoA,fliF
rpoB,fliM
aroH,atpA
metK,atpD
dadA,atpG
lpdA,atpH
gatD,speF
eno,recF
gapA,cysN
rplL,cysD
rpsB,nadB
pheS,nadA
pheT,sucC
glyS,sucD
thrS,trpA
nusA,trpB
nusG,atpE
gyrA,ebgC
fis,ebgA
minD,cheA
tus,cheY
dnaB,pyrI
gcvR,pyrB
rpoC,atpB
fdx,ptsH
iscU,crr
iscS,trxB
secA,trxA
secY,papK
sbmC,papD
gyrB,metE
relE,metF
secB,leuA
rpsJ,gadA
nusB,gatZ
ccmE,gatY
rpoE,nagD
secE,pta
dnaC,glf
hscB,rcsB
hscA,purC
dnaA,upp
dnaG,thiD
rne,thiG
pnp,thiH
galF,bioF
galU,rpoZ
lexA,rplI
ftsQ,sspB
yidC,yjjU
ffh,crp
ftsA,cytR
atpF,ilvI
rpoD,tdh
cheR,clpX
clpS,pstB
era,ftnA
mog,yigB
ackA,recA
rpoH,sulA
ftsI,minC
dnaN,evgA
dnaX,evgS
parC,gcvA
parE,ihfA
rpsR,ihfB
minE,iscA
rsd,aes
ftsK,malT
ftsL,arcB
ftsN,hisJ
ftsW,hisQ
seqA,cpoB
rpoN,tolA
dnaE,traK
dnaQ,traV
holB,traB
holA,mutL
holC,vsr
holD,malK
hfq,malF
hda,relB
rplJ,pabB
rplB,pabA
rpsE,ccmF
rpsG,ccmH
rpsN,tatB
rplF,tatA
rplN,rseA
rplQ,rseB
rplE,secG
infB,hlyB
rplC,hlyD
rplS,hlyA
rplU,tolC
rplM,CD44
rpmB,ompF
rplT,tolR
rplP,tolQ
rpmA,sbcB
rplY,exbD
rplW,exbB
rpsM,repA
rpsC,pir
rpsU,B
rpsS,rhlB
rpsL,fecA
rpsI,fecR
rpsK,fecI
rpsF,groES
rplV,hsdM
rplR,hsdS
rpsA,bglG
rpsD,umuD
rpsH,cI
infC,umuC
infA,melA
rpmC,VIII
cysB,cheZ
rpsQ,uvrD
rpmD,bglF
accC,sopB
paaX,sopA
accA,mutS
accD,mutH
mntR,acrA
acpP,acrB
fabB,moaD
lpxD,moeB
mukB,moaE
rplO,dinI
yahF,btuD
alaS,btuC
yedE,tar
nrdA,recX
sucA,hupB
cca,hupA
spoT,glnB
birA,glnK
grxD,glnL
rplD,clpA
rplX,clpP
ptsN,pal
mreB,ompA
rluB,malY
dxs,imm
lptD,colE7
fbaA,col
folC,ceaC
proS,mazG
ftsY,rho
glyQ,sbcD
glmS,frdB
pgk,frdA
mnmE,frdC
lysS,frdD
kdsB,moeA
topA,mobA
ileS,mobB
ribD,sdhC
ispA,sdhB
priA,sdhD
hyaD,hsdR
leuS,uvrY
ligA,barA
coaD,tatC
murE,arsB
mreC,arsA
pssA,pspF
lpxB,pspA
mukE,narG
mukF,narJ
murC,lacY
murB,ptsI
murF,mucA
ndk,mucB
murD,dnaJ
yceQ,traQ
murG,traA
psuT,prfB
pyrH,glnG
recC,aspA
lnt,cusB
rnhA,cusF
ynfD,cusC
cvpA,melR
ribE,napH
ppiB,napC
torR,fliA
motA,rpoS
rluD,holE
sucB,mlc
valS,ptsG
nadK,merR
ydaT,pcnB
gfcA,soxS
nupX,cesT
oppD,escN
obgE,tir
mreD,skp
pspC,phoE
cheW,rplK
hemA,rpmF
hemL,rpmG
ftsX,rplA
ftsB,hha
torD,stpA
csdE,dcuS
rstB,dcuR
cysE,flhD
slyD,flhC
degS,dicB
hybG,traD
rsmH,traM
rpe,hscC
rpsP,parD
ycgX,rhaS
ydgA,cnu
prs,glgP
yoaB,ada
bamA,bluF
rimP,fadJ
ubiX,fadI
yncE,perR
cbpM,metN
csrA,wcaC
ribC,pdeA
yibA,yhjB
ppa,hycG
mlaB,nanY
ycgM,lysU
hyaA,cysM
lolB,pepD
dapF,aas
dcm,aceE
rnpA,aidB
ftsE,adhE
dsbA,hldD
eutL,adiA
lolA,yhbY
fabA,aroE
accB,ycbX
lpxA,cysJ
yejE,grcA
ansB,rbbA
rseP,dhaK
trg,ycjY
lolD,dsbG
tonB,ydjI
lptE,cbrA
nrdB,cedA
lolC,astD
degQ,ydeP
hemG,fbaB
dhaL,cnoX
def,arnA
tufB,ynbC
bamD,maeB
ruvC,pepN
csgE,ynbB
hipB,hrpA
,yhdY
,ydgJ
,cobB
,panC
,yfcD
,cysI
,yfdH
,fabF
,fabY
,kbaY
,sxy
,ilvD
,csdA
,gcd
,cbpA
,clpB
,cspA
,cspD
,cspC
,rng
,pgrR
,ydiM
,bolA
,miaB
,cadA
,ldcC
,deaD
,rbsK
,srmB
,hxpA
,ygiF
,tusC
,yjfK
,pflB
,rhsC
,kefC
,lon
,mtlA
,narZ
,yfiF
,cspB
,rlmL
,putA
,rnr
,ydaY
,creC
,gltA
,rluE
,acrD
,glpB
,rlmJ
,yjgL
,fecB
,yqeI
,fdhD
,fdnG
,fdhE
,preT
,fkpA
,lsrK
,ynfF
,entE
,tpiA
,gadB
,narQ
,pepB
,sufC
,rhmR
,fimI
,thrA
,asnB
,ydbA
,rapA
,gcvP
,cpxR
,yohD
,tig
,gltB
,gltD
,greB
,emrY
,helD
,nfi
,malP
,malQ
,dsdX
,macA
,yehB
,eutH
,yacG
,zraS
,dhaM
,mnmG
,selB
,hypC
,iclR
,ibpB
,recQ
,katG
,htpG
,hyfG
,mcrB
,yggR
,polA
,hypD
,hypE
,ibpA
,gpmA
,ompC
,uspG
,idnD
,tusA
,flxA
,purT
,tcyN
,eutQ
,topB
,rbsB
,phoA
,tyrA
,moaC
,lldD
,recE
,fsaA
,tdcD
,uacR
,cysK
,manA
,quuQ
,tsaC
,moaA
,pfkA
,ycgR
,yhdJ
,ybbP
,nuoC
,dppA
,mtlD
,fadH
,clcB
,htrE
,yjaH
,yncI
,dgcP
,torC
,nnr
,napD
,nei
,aegA
,hofO
,wecH
,ytfT
,pepP
,hyfB
,yacL
,napA
,narY
,yphH
,mutY
,ushA
,yajQ
,narH
,narW
,ygfA
,proA
,mscK
,otnK
,yidK
,yqcE
,pepT
,mfd
,mdtO
,erfK
,dgcJ
,yghQ
,pncB
,fimD
,rihC
,metJ
,yfcC
,hprS
,pykA
,ynfE
,btsR
,frmA
,malX
,qorA
,rhmD
,yfaY
,ssuD
,rcsD
,recD
,recJ
,galR
,torA
,pbpC
,tsaD
,ulaA
,ybjX
,yjcF
,bcsG
,nagK
,fucK
,ruvB
,patZ
,rph
,ldcA
,norV
,bioB
,pepQ
,serC
,lpoA
,ybiU
,ygcP
,yicC
,gabP
,ucpA
,srlR
,recG
,dcyD
,rlmN
,yraQ
,aldA
,uup
,rstA
,yaiP
,abgT
,ybcJ
,ybhK
,gloC
,ssnA
,dgt
,pqiB
,gluQ
,ypjA
,metQ
,yahK
,queC
,yegT
,yahJ
,yhdP
,yibL
,yffL
,pdeK
,basS
,idnT
,narI
,yfdE
,yhiN
,rlhA
,trhO
,melB
,rnlA
,cysP
,yjeH
,hipA
,bluR
,ychJ
,kbl
,tsaB
,stfR
,prmB
,hprR
,yejF
,mcbR
,tsr
,wcaD
,phoR
,ypeA
,ttdR
,abpB
,ubiU
,tsaE
,wcaJ
,rsgA
,dusC
,ravA
,prlC
,frlR
,mdtL
,ggt
,yigZ
,eutA
,yaiW
,ybaL
,ybeR
,sufB
,sufD
,fumC
,intA
,rcbA
,ubiF
,cynT
,hslO
,traH
,traF
,traU
,trbI
,traW
,trbB
,pspB
,klcB
,trfB
,cyoA
,ccdB
,ccdA
,fnr
,ymgF
,rhaR
,sufE
,sufS
,nan
,tnpA
,arcA
,baeR
,baeS
,basR
,cheB
,cpxA
,creB
,cusS
,cusR
,zraR
,kdpE
,kdpD
,narL
,narX
,narP
,phoB
,phoQ
,phoP
,torS
,uhpB
,uhpA
,btsS
,glrR
,glrK
,dhaR
,puuC
,dmsA
,dmsD
,wzc
,wza
,yfhJ
,yajC
,cna
,fimH
,fimC
,hypB
,hslV
,hslU
,papE
,5
,sdhA
,hyaB
,fimG
,CSN2
,degP
,LYZ
,bioI
,papF
,gspI
,gspJ
,pagA
,safA
,csgB
,csgA
,ilvA
,rlmB
,lsrG
,ung
,pabC
,yciU
,glsA1
,tmcA
,yjjX
,yihX
,msrP
,uvrA
,pepA
,ybgI
,fkpB
,ydhU
,ygiQ
,ydeN
,mlaF
,damX
,pheP
,ycfZ
,atl
,ybeZ
,rraB
,guaC
,dmsB
,ruvA
,ugpB
,stfQ
,tamB
,yggE
,yafD
,puuP
,yhjD
,wrbA
,yjaG
,aroG
,ydfG
,ppsR
,dadX
,ybiB
,darP
,rppH
,yidH
,dps
,lepA
,tnaA
,dksA
,uvrC
,ssuE
,ydcY
,nagC
,lapA
,glpD
,ycjX
,ridA
,msrC
,cyaY
,yafZ
,ppiD
,yfgM
,fimA
,maa
,phnK
,hemY
,elbB
,nfuA
,ybeD
,cspE
,galE
,agp
,pykF
,nrdD
,ulaR
,tolB
,acnB
,rluC
,yicI
,fdoG
,rsuA
,frmB
,yeiG
,rlmI
,ydcJ
,ydcL
,mrcA
,smpB
,sohB
,tgt
,wbbK
,hldE
,pqqL
,rob
,yeeX
,hemX
,uacF
,deoA
,roxA
,dsbC
,emrE
,mrcB
,yjhP
,flu
,iscR
,glpK
,ppx
,ompX
,uvrB
,pdxH
,fhuB
,hcaB
,menI
,queF
,lomR
,nfrA
,phnI
,prfC
,phnJ
,hofM
,phnG
,phnH
,ddpA
,pdeF
,yciF
,manX
,ygbT
,trpR
,metC
,emrA
,ybjD
,gnd
,poxB
,envZ
,ompR
,dsbD
,dsbE
,CDC42
,sigA
,ftsP
,cueO
,metI
,btuF
,eltB
,gspD
,casA
,casB
,casC
,casD
,casE
,cusA
,icd
,aceK
,envC
,subA
,subB
,gp23
,etpA
,fliC
,malS
,tamA
,bioH
,33
,HSPA5
,atl1
,ecxA
,ecxB
,fhuA
,lpp
,speA
,fepA
,btuB
,nikR
,eda
,asiA
,mltA
,papGI
,papA
,papH
,amtB
,grk
,glpG
,trwE
,trwG
,mcjA
,acrZ
,ygbF
,trkA
,bamB
,ivy
,trwK
,trwM
,trwI
,trwJ
,trwF
,trwH
,bamE
,cheA3
,lamB
,csgG
,doc
,spy
