Key_Proteins,Non_Key_Proteins
YAL035W,Q0050
YER165W,YER142C
YGR090W,YBL002W
YOR207C,YBL099W
YPR190C,YBR010W
YAR007C,YCL037C
YBL026W,YGL049C
YBR088C,YGL173C
YDL004W,YGR162W
YDL013W,YHR216W
YDL017W,YIR002C
YDL029W,YJL088W
YDL132W,YLR432W
YDL147W,YML056C
YDL164C,YOL041C
YER133W,YOL090W
YER171W,YPL061W
YFR028C,YPL127C
YGL137W,Q0080
YHR166C,YJR121W
YJL087C,Q0085
YJL173C,Q0130
YKL193C,YAL021C
YLR186W,YAR003W
YLR222C,YBL036C
YLR340W,YBR017C
YML064C,YBR039W
YMR059W,YBR114W
YNL061W,YBR217W
YNL113W,YBR223C
YNL182C,YBR264C
YNL290W,YBR288C
YOL094C,YCR001W
YOL133W,YCR014C
YOR181W,YCR079W
YPL153C,YDL181W
YPL204W,YDL200C
YPR110C,YDR075W
YPR111W,YDR131C
YBR109C,YDR143C
YBR155W,YDR200C
YCR057C,YDR227W
YCR088W,YDR298C
YDL043C,YDR322C-A
YDL193W,YDR377W
YDR499W,YDR419W
YHR107C,YDR523C
YHR196W,YER059W
YJL157C,YER100W
YJR068W,YER161C
YLR196W,YER173W
YMR049C,YGL081W
YNL312W,YGL131C
YNL313C,YGL163C
YOL100W,YGR040W
YOR229W,YGR092W
YPL151C,YGR123C
YPR178W,YGR240C
YNL048W,YGR262C
YBR024W,YHR030C
YNR003C,YHR135C
YPR086W,YIL007C
YBR247C,YIL066C
YDL060W,YJL044C
YDL145C,YJL098W
YOR020C,YJL106W
YBL030C,YJL180C
YBR011C,YKL016C
YBR080C,YKL215C
YDL055C,YKR036C
YDL097C,YLL019C
YDL126C,YLR148W
YDR394W,YLR238W
YER021W,YLR295C
YER025W,YLR320W
YFL037W,YLR442C
YFL039C,YML081C-A
YFR004W,YMR106C
YGL048C,YMR284W
YGL245W,YNL012W
YGR218W,YNL090W
YHR020W,YNL311C
YHR027C,YNL315C
YJR045C,YOL115W
YKL035W,YOR386W
YKL104C,YPL078C
YKL145W,YPL140C
YLR059C,YPL149W
YLR424W,YPL150W
YML085C,YPL164C
YMR047C,YPL271W
YOR151C,YPR020W
YPL235W,YBL021C
YPR108W,YBL056W
YKL152C,YBR098W
YOR261C,YBR103W
YLR310C,YBR271W
YPR169W,YCL039W
YBR196C,YCR002C
YER043C,YDL006W
YHR170W,YDL059C
YJL034W,YDL138W
YLR259C,YDR142C
YMR108W,YDR388W
YAL001C,YEL056W
YBR123C,YER041W
YDR362C,YER066C-A
YGR047C,YER179W
YGR246C,YGL208W
YOR110W,YGL237C
YPL007C,YJL128C
YPL045W,YJR035W
YBR055C,YJR052W
YBR198C,YJR062C
YDR113C,YKL048C
YDR267C,YLR016C
YDR398W,YLR262C
YER012W,YLR306W
YGL003C,YLR453C
YGR083C,YML057W
YHR070W,YML095C
YHR169W,YML112W
YIL142W,YMR055C
YIL147C,YMR104C
YJL005W,YMR138W
YJR022W,YMR205C
YKL166C,YNL094W
YKL189W,YNL135C
YLL011W,YNL250W
YLR097C,YOL087C
YLR175W,YOR230W
YLR229C,YOR231W
YLR291C,YOR351C
YLR314C,YLR248W
YLR403W,Q0250
YMR117C,YBR037C
YNL161W,YER154W
YOL139C,YHL042W
YOR272W,YPR119W
YOR341W,YPR079W
YPL203W,Q0275
YBR160W,YDR405W
YHR186C,YOR121C
YJR076C,R0020C
YKL078W,YBR097W
YML065W,YCL018W
YNL007C,YCL064C
YNL216W,YCR009C
YHR082C,YDR071C
YNL244C,YDR076W
YOR319W,YDR148C
YDL143W,YGR205W
YDR190C,YHL030W
YDR211W,YJR077C
YER146W,YMR246W
YFL022C,YNL064C
YGL008C,YOR086C
YGL122C,YAR031W
YGR155W,YBR020W
YJR007W,YBR072W
YJR072C,YBR085W
YOR260W,YBR118W
YPL237W,YBR127C
YPR104C,YBR166C
YDR170C,YDR022C
YMR197C,YDR127W
YOR106W,YDR214W
YAL003W,YDR465C
YAR019C,YDR502C
YDL220C,YEL060C
YDR228C,YER110C
YFL038C,YER178W
YGR280C,YFR030W
YHR014W,YGL016W
YHR188C,YGL078C
YIL046W,YGL105W
YJL203W,YGL206C
YKL021C,YGL234W
YLR249W,YGR282C
YLR293C,YHR033W
YMR240C,YHR076W
YCR042C,YHR171W
YBR252W,YHR200W
YDR226W,YHR201C
YER023W,YIL125W
YER070W,YIL128W
YFL045C,YJL066C
YGL040C,YJL130C
YGR267C,YJL138C
YJL008C,YJR109C
YJL026W,YLL042C
YJL111W,YLR031W
YKL060C,YLR180W
YLL050C,YLR216C
YLR321C,YLR423C
YMR290C,YLR438W
YNL044W,YML055W
YOR232W,YML124C
YPL124W,YMR056C
YPL218W,YMR058W
YPL242C,YMR159C
YPL255W,YMR319C
YPR182W,YNL071W
YCR072C,YNL208W
YHR086W,YNR001C
YIR006C,YNR007C
YBL105C,YOL055C
YKL082C,YPR049C
YOR362C,YDL134C
YPL115C,YDL188C
YPR165W,YDR171W
YCL028W,YDR372C
YHR069C,YEL051W
YLR347C,YFL016C
YOR098C,YGL202W
YOR160W,YHL002W
YPR010C,YJR132W
YGL097W,YKR046C
YNL189W,YLL041C
YER125W,YML123C
YDL207W,YMR214W
YGL092W,YNL037C
YJR042W,R0030W
YMR235C,YOR101W
YOR204W,YDR264C
YPL093W,YNL098C
YPR181C,YBL039C
YCR035C,YBR019C
YDL111C,YDL229W
YDR280W,YDR477W
YGR095C,YER177W
YGR195W,YFR053C
YLR163C,YGR254W
YNL232W,YHR137W
YOL021C,YHR178W
YOR076C,YJL153C
YBR140C,YLR044C
YCL017C,YMR066W
YCL031C,YMR186W
YDL155W,YMR323W
YDR160W,YGL133W
YER172C,YKL068W
YFR042W,YAL002W
YGL099W,YKR026C
YHR084W,YLR396C
YLL018C,YMR231W
YPL082C,YAL015C
YPR175W,YAL036C
YER009W,YBL008W
YGL044C,YBR208C
YGL172W,YBR274W
YGR119C,YCR077C
YDR353W,YCR084C
YLR005W,YCR092C
YMR001C,YDL047W
YMR308C,YDL101C
YPR025C,YDL116W
YAL041W,YDL225W
YDR339C,YDR080W
YGL116W,YDR128W
YIL061C,YDR129C
YJL090C,YDR138W
YLR383W,YDR165W
YMR198W,YDR247W
YNL317W,YDR260C
YPL126W,YDR369C
YDR395W,YDR488C
YHR068W,YER075C
YJL061W,YFR021W
YLR359W,YFR040W
YMR032W,YGL004C
YOR326W,YGL158W
YOR370C,YGL190C
YPR187W,YGR052W
YBR154C,YIL035C
YBR236C,YJL092W
YDL108W,YKL103C
YDL140C,YKL130C
YDR167W,YLL010C
YDR404C,YLR006C
YIL021W,YLR247C
YJL164C,YML016C
YJR017C,YML115C
YOR210W,YMR022W
YPL137C,YMR116C
YIL115C,YNL106C
YDR168W,YNL128W
YDR328C,YNL180C
YFL034C-B,YNL183C
YMR094W,YNL230C
YOR036W,YNR031C
YOR057W,YOL062C
YBR136W,YOL126C
YBR143C,YOR061W
YHR143W-A,YOR125C
YJL076W,YOR212W
YLL034C,YPL022W
YPR016C,YPL026C
YDR087C,YPL031C
YEL002C,YPL139C
YGR060W,YPL259C
YPL076W,YPR017C
YPL211W,YPR054W
YBR106W,YBR069C
YCL052C,YBR101C
YDL015C,YBR175W
YDL212W,YDL179W
YDR062W,YDR430C
YER026C,YFR016C
YKL154W,YJL020C
YDR331W,YLR096W
YMR149W,YLR288C
YOR254C,YNL236W
YDL232W,YBL049W
YJR095W,YBR082C
YMR013C,YBR125C
YGR103W,YBR130C
YKR081C,YBR169C
YER036C,YDL192W
YER126C,YDR092W
YGR245C,YDR251W
YHR197W,YDR320C
YNL110C,YDR386W
YDR427W,YGR167W
YIL106W,YHR108W
YBR110W,YHR161C
YGL022W,YIL094C
YJL002C,YIL095W
YOR103C,YKL135C
YBL040C,YLR233C
YJL091C,YMR026C
YHR102W,YNL056W
YIL026C,YOR080W
YOL127W,YOR109W
YDL195W,YPL106C
YIL109C,YBL075C
YLR208W,YBR120C
YLR378C,YBR227C
YGL001C,YBR270C
YGR175C,YDL052C
YJL202C,YDL185W
YLR100W,YDR342C
YHR042W,YER186C
YKL006C-A,YGL026C
YBR254C,YHL032C
YKR068C,YIL131C
YML130C,YJL052W
YNL020C,YJL124C
YPL094C,YJL215C
YGL142C,YJR009C
YBR142W,YJR019C
YDL208W,YKL011C
YDR060W,YKL211C
YHR088W,YLR081W
YJL033W,YLR289W
YPL043W,YMR021C
YDL153C,YMR145C
YHR007C,YMR241W
YER005W,YMR267W
YDL028C,YMR269W
YPR161C,YNL085W
YNL207W,YNL265C
YOR119C,YOR047C
YPL016W,YOR128C
YMR203W,YOR133W
YNL006W,YOR190W
YGR082W,YOR317W
YJL143W,YOR374W
YNL131W,YOR375C
YBR089C-A,YGL124C
YCR093W,YHR047C
YDR243C,YPL240C
YGL150C,YMR291W
YGR002C,YDL077C
YGR274C,YBR131W
YJL074C,YKL081W
YJL081C,YBR059C
YDL139C,YCR005C
YDR172W,YCR094W
YGL201C,YDR192C
YGL238W,YDR306C
YIL144W,YDR480W
YKR022C,YDR522C
YLR078C,YER020W
YLR088W,YER095W
YLR106C,YFL014W
YLR430W,YGR104C
YNL138W,YGR173W
YNL152W,YHL034C
YOR329C,YHR111W
YPL012W,YHR183W
YPR048W,YLR024C
YDR224C,YLR074C
YER022W,YNL116W
YGL207W,YNL175C
YMR061W,YNL271C
YNL308C,YOL128C
YOR116C,YOR339C
YBR168W,YPL048W
YBR243C,YPL111W
YDL105W,YPL236C
YDR531W,YBR025C
YPL213W,YER086W
YPL233W,YIR033W
YPR136C,YLR113W
YFL024C,YNL023C
YHR099W,YPL226W
YOR244W,YAR018C
YJL019W,YBL045C
YBR211C,YBL112C
YJR112W,YBR137W
YAL012W,YBR171W
YBL076C,YBR176W
YBR121C,YBR281C
YBR152W,YCL040W
YCL043C,YCR076C
YDL064W,YCR087C-A
YDR037W,YCR087W
YDR473C,YDL224C
YEL034W,YDL246C
YER003C,YDR032C
YFL017W-A,YDR099W
YGR074W,YDR110W
YGR091W,YDR155C
YGR094W,YDR174W
YHR019C,YDR293C
YHR165C,YDR321W
YJL167W,YEL015W
YKL210W,YEL066W
YLR147C,YER091C
YLR153C,YFL010C
YLR355C,YFL018C
YNL147W,YFL054C
YOR159C,YGL221C
YOR335C,YGR058W
YPL028W,YGR066C
YPR082C,YGR144W
YAL034W-A,YGR234W
YAR008W,YGR268C
YDR361C,YHR025W
