gene,score,rank
TUBA4A,0.038230002470155115,1
SYNJ1,0.03234188698207314,2
PPP3CA,0.03005982987360907,3
DNAJC6,0.028896511439716412,4
PPP3CB,0.026945346388863287,5
CAMK4,0.02340605651260735,6
SH3GLB2,0.0214476448544673,7
CYFIP2,0.021070060840359745,8
NCDN,0.019299182513958492,9
DNM1,0.019269962828737355,10
TUBB2A,0.019120513713145115,11
GNB1,0.016512750447505657,12
TRIM2,0.015988543391013264,13
DNM3,0.015225022188060239,14
ATP6V1A,0.014479079839758033,15
ATP1B1,0.014279216056824568,16
ATP1A3,0.014132163552228244,17
ATP6V1C1,0.012301189360267991,18
TOM1L2,0.012288118161315115,19
OXR1,0.01207694184091401,20
AP2A1,0.011934397349362535,21
SH3GL2,0.011903177124852057,22
ATP6V1D,0.011847511410081071,23
CNTN1,0.011842339114687656,24
DNAJC5,0.011793124780961695,25
DMXL2,0.01132505425642507,26
ATP6V0D1,0.011282227412706762,27
DPYSL2,0.01127547928844136,28
SNAP25,0.011238278557804526,29
AP2B1,0.011218489065798452,30
SNPH,0.01095104187014349,31
ROGDI,0.010648978013316044,32
WDR7,0.010512934883350037,33
SV2A,0.010451702148538777,34
SH3GL3,0.010228188569895992,35
EPB41L3,0.010175501970802898,36
SYT1,0.01008865149160352,37
ATP2B2,0.010084533380455068,38
CNTNAP1,0.009963825926376077,39
ADD2,0.009957239494169247,40
ATP1A1,0.009708968127609385,41
ATP6V1H,0.00956498375173745,42
ATL1,0.009502852841227243,43
CD47,0.009495164320078566,44
WDR37,0.009437509642612576,45
RAP1GAP2,0.009420241067698577,46
ATP6V0C,0.009090307458442028,47
VSNL1,0.008681911723362907,48
NPTN,0.008410014386021817,49
PFKP,0.008181813358942077,50
ACTR3B,0.007775818375781408,51
ATP6V1B2,0.007738443547686178,52
WASF1,0.007473439303327583,53
HSPA12A,0.0071136623406479185,54
GPM6A,0.007036853922644583,55
CADPS2,0.006705595110838372,56
C2CD2L,0.006678140650817759,57
DMWD,0.006617362615610426,58
SIRPA,0.0063879177362268,59
CNKSR2,0.006350189629296733,60
RAP1GDS1,0.0062404314002033785,61
APBB1,0.006005708548805651,62
MADD,0.005960374753110427,63
THY1,0.005732317069564383,64
NCKAP1,0.005701424015751288,65
AP2S1,0.005655566119270519,66
ATP2B1,0.00543845307351284,67
DNM1L,0.005289012491475045,68
NCAM1,0.005257967605348211,69
NECAP1,0.005145444003501269,70
STXBP1,0.0050966885150824795,71
RALA,0.004919177280347379,72
RAP2A,0.004898127613408715,73
IQSEC2,0.0048065683880271545,74
ATP6V1E1,0.004715989037784923,75
MAPRE3,0.004149620346006942,76
RAB3B,0.0040927257625880354,77
PCMT1,0.003959550323816082,78
PALM,0.0038940902730325404,79
PLCL2,0.003832905614406665,80
WDR47,0.0038285296992780046,81
YWHAH,0.003524143492701467,82
PRKACB,0.003466848901964689,83
CAP2,0.003392816106060717,84
DLG4,0.003313078956346157,85
PI4KA,0.0030538950692638833,86
PRKAR2B,0.002992229956100255,87
PIP4K2B,0.002961121226703566,88
TMOD2,0.00280499676847019,89
HRAS,0.002617640791578971,90
RAB35,0.0023054645168384645,91
MAP2K4,0.0022008578434592634,92
YWHAG,0.0021623603140599685,93
MAP2K1,0.0021030284257687096,94
RTN1,0.002093529259208879,95
GDI1,0.0020119061753618374,96
LIN7B,0.0020079499535468038,97
TOLLIP,0.00200326540690072,98
STXBP5,0.0019973849257461447,99
AP3M2,0.001982606321916499,100
RAB15,0.001977115381371257,101
NEGR1,0.0019298643261400192,102
TMEM30A,0.001897454017340163,103
ADD1,0.0018501558439930662,104
NTM,0.001817883127019643,105
SLC17A7,0.0018101335260217587,106
SNX30,0.0017023729788261735,107
CRMP1,0.0016599796859177098,108
ELMOD1,0.0016469777539138578,109
AP2A2,0.001645921539493146,110
PPP2R5B,0.0015908493654296539,111
GOT1,0.001580344386452195,112
PAK1,0.001555742898279072,113
NDEL1,0.0014454792694864845,114
PLCB1,0.001351045038213688,115
CLASP2,0.001234474207264618,116
PRKCE,0.0012274413381627202,117
CAMK2G,0.0011646601473233385,118
LSAMP,0.0011413390091268567,119
CAMSAP3,0.001049052642349863,120
ARRB1,0.0010333834431880517,121
MDH1,0.0010326531169833537,122
KCNAB2,0.0010020880040918128,123
PSD3,0.0009402786406680747,124
ARFGEF3,0.00090967911686013,125
PPP2R1A,0.0008942975426785731,126
PAK3,0.0008742775906237559,127
