gene,score,rank
PSMA3,0.074324571104877,1
PSMA5,0.07429257602476298,2
PSMA6,0.07429257602476298,2
PSMA7,0.07429257602476298,2
PSMB1,0.06348930498397604,5
PSMB2,0.06348930498397604,5
PSMB3,0.06348930498397604,5
PSMB4,0.06348930498397604,5
PSMA4,0.06340457726380169,9
CCT2,0.029221223699071285,10
CCT3,0.029221223699071285,10
CCT4,0.029221223699071285,10
CCT5,0.029221223699071285,10
CCT6A,0.029221223699071285,10
CCT7,0.029221223699071285,10
CCT8,0.029221223699071285,10
TCP1,0.029221223699071285,10
PSMC2,0.02546665547268103,18
PSMD2,0.024878338530314584,19
PSMD14,0.021550816704673615,20
PSMD13,0.017073668725077342,21
PSMD6,0.017047838666491753,22
PSMD8,0.012977043608596143,23
PSMD7,0.0067717359895526005,24
PSMC5,0.006206266595122567,25
PSMC4,0.0038790443079743217,26
PSMD12,0.0027561335841716464,27
PSMA1,0.0016742901838348373,28
PSMC1,0.001314855410424423,29
PSMD3,0.0013025670421026993,30
MRPL15,0.0004144470599813114,31
EIF3F,0.00040225744057009624,32
EIF3L,0.0003778782017476662,33
CLPTM1,0.00031966170071144536,34
COPS2,0.0003016930804275722,35
COPS4,0.0003016930804275722,35
COPS5,0.0003016930804275722,35
COPS6,0.0003016930804275722,35
PSMC6,0.0003016930804275722,35
MRPL37,0.0003016930804275722,35
MRPS31,0.0003016930804275722,35
MRPS9,0.0003016930804275722,35
EIF3B,0.0002925508658691609,43
EIF3D,0.0002925508658691609,43
CALR,0.00025841584104144635,45
RPN1,0.00019457192737238311,46
ATP6V1A,0.00019457192737238311,46
ACTR2,0.0001669786569414788,48
ATP6V1D,0.0001368083864337069,49
HSPA5,0.0001368083864337069,49
TWF2,0.00012768782733812642,51
WDR1,0.00012768782733812642,51
BCAP31,0.00012768782733812642,51
PALM,0.0001214390232301664,54
SACM1L,0.0001214390232301664,54
AKAP12,0.00010929512090714976,56
SNX6,9.715121858413313e-05,57
CNN3,8.197134068036233e-05,58
PDLIM5,8.197134068036233e-05,58
CSE1L,8.197134068036233e-05,58
IPO7,8.197134068036233e-05,58
XPO1,8.197134068036233e-05,58
SFPQ,8.197134068036233e-05,58
EXOC5,8.197134068036233e-05,58
FKBP1B,7.579411990787085e-05,65
CPT1C,7.579411990787085e-05,65
HSPA12A,7.286341393809983e-05,67
HNRNPL,7.286341393809983e-05,67
CAPZA2,6.375548719583736e-05,69
ATP6V1B2,4.857560929206656e-05,70
ATP6V1E1,4.857560929206656e-05,70
ERP44,4.857560929206656e-05,70
PDIA4,4.857560929206656e-05,70
ZYX,4.857560929206656e-05,70
EXOC3,4.857560929206656e-05,70
EXOC7,4.857560929206656e-05,70
VPS50,4.857560929206656e-05,70
VPS51,4.857560929206656e-05,70
VPS53,4.857560929206656e-05,70
ARPC3,4.850823674103735e-05,80
CANX,4.2503658130558246e-05,81
SNX1,4.2503658130558246e-05,81
SNX5,4.2503658130558246e-05,81
FUS,4.2503658130558246e-05,81
FSD1,2.7285883166833506e-05,85
DGKI,2.7285883166833506e-05,85
ATP2A2,2.7285883166833506e-05,85
STX1A,2.7285883166833506e-05,85
EEF2,1.2127059185259337e-05,89
DNAJC6,1.2127059185259337e-05,89
ACTN1,1.2127059185259337e-05,89
TPM1,1.2127059185259337e-05,89
CORO1A,1.2127059185259337e-05,89
CAP1,1.2127059185259337e-05,89
COTL1,1.2127059185259337e-05,89
LRP1,1.2127059185259337e-05,89
SHMT2,1.2127059185259337e-05,89
HSPD1,1.2127059185259337e-05,89
AP2B1,1.2127059185259337e-05,89
PGAM1,1.2127059185259337e-05,89
SLC25A3,1.2127059185259337e-05,89
CACYBP,1.2127059185259337e-05,89
PFDN2,1.2127059185259337e-05,89
PFDN6,1.2127059185259337e-05,89
GNAI2,1.2127059185259337e-05,89
RAP1A,1.2127059185259337e-05,89
DLG4,1.2127059185259337e-05,89
TRAPPC9,1.2127059185259337e-05,89
EIF3C,1.2127059185259337e-05,89
VPS11,1.2127059185259337e-05,89
ABCE1,3.0317647963148342e-06,111
GART,3.0317647963148342e-06,111
ABR,3.0317647963148342e-06,111
UCHL1,3.0317647963148342e-06,111
FLNA,3.0317647963148342e-06,111
SORBS1,3.0317647963148342e-06,111
ACTN2,3.0317647963148342e-06,111
PFKP,3.0317647963148342e-06,111
TRIM2,3.0317647963148342e-06,111
EHD1,3.0317647963148342e-06,111
ARPC5,3.0317647963148342e-06,111
ADD1,3.0317647963148342e-06,111
ADD2,3.0317647963148342e-06,111
MAP2,3.0317647963148342e-06,111
MAP1A,3.0317647963148342e-06,111
CORO2B,3.0317647963148342e-06,111
DMWD,3.0317647963148342e-06,111
AKR1A1,3.0317647963148342e-06,111
MPI,3.0317647963148342e-06,111
ALDH18A1,3.0317647963148342e-06,111
AP2A1,3.0317647963148342e-06,111
AP2A2,3.0317647963148342e-06,111
ARHGDIA,3.0317647963148342e-06,111
PGK1,3.0317647963148342e-06,111
ATP1A1,3.0317647963148342e-06,111
ATP1B1,3.0317647963148342e-06,111
ATP2C1,3.0317647963148342e-06,111
ATP6V1H,3.0317647963148342e-06,111
LMAN1,3.0317647963148342e-06,111
WFS1,3.0317647963148342e-06,111
GMPS,3.0317647963148342e-06,111
P4HB,3.0317647963148342e-06,111
PRKCSH,3.0317647963148342e-06,111
SNX2,3.0317647963148342e-06,111
MAPK1,3.0317647963148342e-06,111
CLIC4,3.0317647963148342e-06,111
CSRP1,3.0317647963148342e-06,111
CNRIP1,3.0317647963148342e-06,111
ENO2,3.0317647963148342e-06,111
SCRN1,3.0317647963148342e-06,111
CNTNAP1,3.0317647963148342e-06,111
NCAM1,3.0317647963148342e-06,111
EPB41L3,3.0317647963148342e-06,111
RTN1,3.0317647963148342e-06,111
STX7,3.0317647963148342e-06,111
FMNL1,3.0317647963148342e-06,111
RAP1B,3.0317647963148342e-06,111
CSDE1,3.0317647963148342e-06,111
STRAP,3.0317647963148342e-06,111
IPO9,3.0317647963148342e-06,111
EIF4G2,3.0317647963148342e-06,111
IPO5,3.0317647963148342e-06,111
CTNNB1,3.0317647963148342e-06,111
