gene,score,rank
PSMC2,0.1132349824182114,1
PSMD3,0.1129687355467094,2
PSMC4,0.09684338466078952,3
PSMD2,0.07320858551219506,4
HSP90AA1,0.0679455294588271,5
PSMC1,0.06443534830109905,6
CCT7,0.046589454180796075,7
CCT8,0.04324432473086742,8
PSMC5,0.039907957851720306,9
CCT2,0.038150249762011944,10
CCT5,0.036450556745275364,11
PSMD13,0.03559655220719851,12
CCT3,0.028972600929922064,13
PSMD14,0.022403451317260164,14
CCT4,0.022307050266225526,15
TCP1,0.022111574553038305,16
EIF3B,0.020604153206472065,17
PSMD6,0.019024775035071793,18
CCT6A,0.0146007879142018,19
EIF3A,0.012748692422957673,20
EIF3D,0.011318789715374157,21
EIF3C,0.01115335602844459,22
PSMB2,0.006851092795236322,23
PSMA4,0.005198566071557653,24
PSMD7,0.004521725113398541,25
PSMA7,0.003983117880676082,26
PSMD8,0.0037835819196608716,27
PSMB1,0.0025801527763774238,28
DNAJA1,0.0024197422537664153,29
PSMA6,0.002328087331919556,30
PSMA3,0.0019217037011943258,31
PSMB3,0.0014109869737632269,32
PSMB4,0.0014109869737632269,32
PSMA1,0.0013765071845452915,34
PSMD4,0.0012084488019728087,35
EIF3L,0.0007943523909412202,36
EIF3I,0.0007939579573816385,37
RPS5,0.0006141879512514468,38
PRMT5,0.0005819962675006118,39
RPL3,0.0004394008524131251,40
MAP1LC3A,0.00041425375662729327,41
SYNCRIP,0.0002783167031021267,42
NTM,0.0002762005787539026,43
GAP43,0.0002081761830476513,44
BZW1,0.00019966939159439946,45
ELAVL1,0.00017621722612071674,46
EIF2S2,0.0001584847225296575,47
EIF2S1,0.0001101810590128441,48
HNRNPL,0.00010223389646511398,49
GART,0.00010134677646212488,50
MAP1B,9.213343314738625e-05,51
MTMR9,7.922046213541764e-05,52
USO1,7.551296983792381e-05,53
NUDC,7.115744946305039e-05,54
GMPS,6.69545091134922e-05,55
CAMK2G,6.251406638864296e-05,56
RUVBL1,6.250693599891486e-05,57
PSMD12,6.047000635745888e-05,58
PIP5K1C,5.532255523499883e-05,59
CSNK2A1,5.347285425715049e-05,60
STIP1,5.066994068760377e-05,61
MAP1A,3.9604569808796524e-05,62
PSMA5,3.867650518540031e-05,63
PALM,3.680605118139819e-05,64
STRAP,3.624838373925579e-05,65
RPN1,3.5133048854971e-05,66
CSRP1,3.344380281116255e-05,67
PCMT1,3.3435198797061394e-05,68
STMN1,2.9278384484444238e-05,69
GLO1,2.6748159037649114e-05,70
DIAPH1,2.555318525408814e-05,71
MDH2,2.536807517582497e-05,72
EIF4A3,2.323349074784983e-05,73
GSPT1,2.2849996076612662e-05,74
GNAI2,2.2292679099134304e-05,75
RAB11FIP5,2.154712811366179e-05,76
GNB4,2.136931447901277e-05,77
RANBP1,2.136931447901277e-05,77
HNRNPA3,2.1185913592480345e-05,79
NPTN,2.0814230897875433e-05,80
HNRNPD,2.0814230897875433e-05,80
PSMC6,2.0442548203270514e-05,82
PAK3,1.9313143652377038e-05,83
AKAP12,1.857723258261192e-05,84
CLIC4,1.8394091546139403e-05,85
FASN,1.78275172175788e-05,86
EPB41L3,1.7648370953481323e-05,87
DPYSL2,1.4949116000157222e-05,88
ABCE1,1.4861786066089536e-05,89
RAB12,1.4490241414437296e-05,90
LSAMP,1.4490241414437296e-05,90
ATP2B4,1.3747152111132818e-05,92
PGAM1,1.3367196307543643e-05,93
PFDN2,1.2813528000134761e-05,94
NRBP2,1.2629267750849004e-05,95
SUCLA2,1.2624574290457884e-05,96
PRKCE,1.2528520033034233e-05,97
GNB1,1.2257818699353448e-05,98
EEF2,1.2256418087085425e-05,99
ARHGAP1,1.2256418087085425e-05,99
PFDN5,1.2073821787827728e-05,101
PFDN1,1.2073821787827728e-05,101
PLCB1,1.1696296769100687e-05,103
LRRC59,1.1514920596362327e-05,104
PDIA4,1.1142198260986751e-05,105
IMPDH2,1.0677940000112302e-05,106
HSPD1,9.28516521748896e-06,107
GNB2,9.193364024515086e-06,108
FUS,8.914777235893416e-06,109
BASP1,8.636190447271746e-06,110
TMOD2,7.799538782690725e-06,111
ITSN1,7.426220170857578e-06,112
ETFB,7.426220170857578e-06,112
GDI1,7.426220170857578e-06,112
ENSA,7.05672556529161e-06,115
PURA,5.569665128143184e-06,116
IMPA1,5.569665128143184e-06,116
PLP1,5.569665128143184e-06,116
PDLIM5,5.569665128143184e-06,116
EIF3F,5.569665128143184e-06,116
ATL1,5.198354119600306e-06,121
PPA2,5.104211865310243e-06,122
DPYSL3,5.104211865310243e-06,122
SUGT1,4.827043111057426e-06,124
EHD1,4.640192604827494e-06,125
UCHL1,4.177248846107388e-06,126
YWHAQ,4.177248846107388e-06,126
CFL2,3.89876558970023e-06,128
PAFAH1B2,3.89876558970023e-06,128
ANXA5,3.89876558970023e-06,128
CNN3,3.89876558970023e-06,128
RUVBL2,3.89876558970023e-06,128
SFPQ,3.89876558970023e-06,128
IPO5,3.89876558970023e-06,128
