gene,score,rank
CCT8,0.06225647465538665,1
TCP1,0.06072725605129362,2
PSMA6,0.06045589030585152,3
CCT6A,0.05491929287739135,4
PSMB1,0.0530502849945667,5
CCT4,0.04990241061235412,6
MDH2,0.048399097329102574,7
PRDX3,0.04520629102895461,8
CCT2,0.044080559003722784,9
PSMA4,0.04153041204006071,10
CCT7,0.04130772390023707,11
CCT3,0.036115412236799455,12
CCT5,0.036115412236799455,12
PSMA1,0.03585490423123448,14
HSPD1,0.03558429797438995,15
PSMA7,0.03302802387085169,16
PSMA5,0.02939980498882198,17
SUCLA2,0.02901100245140991,18
HIBADH,0.020722038914662774,19
PSMB3,0.019581089406696263,20
ETFB,0.019100066527784402,21
PSMC4,0.018646949608694216,22
PSMB4,0.01749902123988435,23
PSMA3,0.017389967395321296,24
PSMC6,0.007595142228936434,25
MPI,0.0070609935203270096,26
PSMD2,0.0062264190914266965,27
PPA2,0.005363860397514503,28
IDH3G,0.005326086732743276,29
PGAM1,0.005090897243708998,30
PSMC5,0.004318691134520912,31
BPHL,0.00404068071595218,32
PRMT5,0.00336723392996015,33
AUH,0.0033485270747937047,34
YWHAE,0.0031234040346664136,35
ATP6V1B2,0.00213564077125807,36
CNDP2,0.0021170699819427824,37
ATP6V1H,0.0021170699819427824,37
DPYSL2,0.0020799284033122074,39
PSMC2,0.0020221706758588066,40
ACAD8,0.002021937786336028,41
ATP6V1A,0.0016027103187103927,42
ATP6V1D,0.0016027103187103927,42
ATP6V1E1,0.0016027103187103927,42
PSMC1,0.001587870408351963,45
CALR,0.001441147012322338,46
PFKL,0.0014189755198250713,47
P4HB,0.0013968040273278045,48
PGK1,0.0010397184033769237,49
HNRNPA3,0.0009059600471664587,50
PDIA4,0.0008563278864538856,51
PSMD7,0.0008563278864538856,51
EEF2,0.0007725026706444024,53
PSMD14,0.0007549667059720489,54
PSMD6,0.0007365528838751697,55
HNRNPF,0.0006437522255370021,56
MDH1,0.0006180116268660573,57
PFKP,0.0005745112494226323,58
DDX1,0.0003641798304466469,59
HNRNPH2,0.0003641798304466469,59
HSPA5,0.00035314407800886966,61
C1QBP,0.0003310725731333153,62
ENO2,0.0002792589875619595,63
PGM1,0.00020163548986664148,64
QDPR,0.0001541517637467041,65
ACTN1,0.00014664399263028473,66
ALDH9A1,0.00014664399263028473,66
PPP2R1A,0.00014664399263028473,66
HNRNPL,0.00014664399263028473,66
TPM1,9.89846950254422e-05,70
FKBP1B,9.154798855767491e-05,71
LDHA,8.798639557817084e-05,72
SHMT2,5.8657597052113896e-05,73
SORBS1,5.8657597052113896e-05,73
PRKCSH,5.8657597052113896e-05,73
PSMD4,5.8657597052113896e-05,73
PSMB2,5.8657597052113896e-05,73
GNB1,5.8657597052113896e-05,73
GNB2,5.8657597052113896e-05,73
GNB4,5.8657597052113896e-05,73
TIAM1,5.8590712676911944e-05,81
ATP6V1C1,5.132539742059966e-05,82
FUS,5.132539742059966e-05,82
PSMD3,5.132539742059966e-05,82
CLPP,4.399319778908542e-05,85
GOT1,4.399319778908542e-05,85
CRYZ,3.295727588076297e-05,87
ARPC3,3.295727588076297e-05,87
VDAC1,3.295727588076297e-05,87
CANX,3.295727588076297e-05,87
VWA8,1.4647678169227986e-05,91
FIS1,1.4647678169227986e-05,91
GDI1,1.4647678169227986e-05,91
CORO1A,1.4647678169227986e-05,91
ATP1A1,1.4647678169227986e-05,91
ATP1B1,1.4647678169227986e-05,91
