gene,score,rank
PSMC2,0.0872702162770258,1
PSMC1,0.08559503226472528,2
PSMD13,0.07755960872481492,3
PSMD2,0.07519399952759813,4
PSMD3,0.07284037660539677,5
PSMC4,0.06763153076295951,6
PSMC5,0.06763153076295951,6
PSMD7,0.06508128008077721,8
PSMD12,0.0538592816839641,9
PSMD14,0.053193638902382455,10
PSMC6,0.05191621150984131,11
XPO1,0.04158045230785477,12
PSMD8,0.034029523656085074,13
PSMD6,0.032323177556703726,14
KPNB1,0.030548705029503135,15
EIF3B,0.023185256455236853,16
ADRM1,0.006712237449271752,17
EIF4G2,0.004281914343035262,18
PSMD4,0.0037867528791843026,19
PSMA1,0.0037867528791843026,19
PSMA3,0.0037867528791843026,19
PSMA4,0.0037867528791843026,19
PSMA5,0.0037867528791843026,19
PSMA6,0.0037867528791843026,19
PSMA7,0.0037867528791843026,19
PSMB1,0.0037867528791843026,19
PSMB2,0.0037867528791843026,19
PSMB3,0.0037867528791843026,19
PSMB4,0.0037867528791843026,19
EIF3I,0.001687059677167632,30
TWF2,0.001216333380431688,31
ATG7,0.0011917282179042248,32
ARPC5,0.0011078591877862506,33
EIF3F,0.0011005385169840186,34
CACYBP,0.0010791195873159068,35
CCT2,0.0009684834974056193,36
CCT3,0.0009684834974056193,36
CCT4,0.0009684834974056193,36
CCT5,0.0009684834974056193,36
CCT6A,0.0009684834974056193,36
CCT7,0.0009684834974056193,36
CCT8,0.0009684834974056193,36
TCP1,0.0009684834974056193,36
ARPC3,0.0008244226677229681,44
CSE1L,0.0007744526372436899,45
PFDN5,0.0006582744529355503,46
RANBP1,0.0006283831847600218,47
ACTR2,0.0005992585679615532,48
EIF3D,0.0005948429895312501,49
EIF3L,0.0005769452973756453,50
PFDN2,0.0005423363525734078,51
GMPS,0.0005338086917714288,52
SNX6,0.00040855478949485723,53
CORO1A,0.00040752688700583414,54
STMN1,0.00034194126526846953,55
SNX2,0.00030496671883392185,56
COTL1,0.0002789860763223004,57
EIF3A,0.00027013667717378404,58
HSP90AA1,0.0002613349277144885,59
IPO7,0.00022114268138040348,60
FKBP4,0.00021822202430625093,61
CAP1,0.00020520650836919365,62
ATP6V1D,0.00019200064477486076,63
ATP6V1H,0.00019200064477486076,63
ATP6V1E1,0.0001880023219094694,65
ATP6V1C1,0.00018668762035765492,66
HNRNPL,0.00017159176388190404,67
ATP6V1A,0.00015557301696471243,68
ATP6V1B2,0.00015557301696471243,68
ELAVL1,0.0001489775800332813,70
RAN,0.00014246648140226115,71
GIT2,0.00014225045459139257,72
PFDN6,0.00013539630026025376,73
COPS3,0.00010016413791927324,74
COPS4,0.00010016413791927324,74
COPS5,0.00010016413791927324,74
COPS6,0.00010016413791927324,74
PDCD5,9.85221028714163e-05,78
SGTA,8.863168442149767e-05,79
SFPQ,8.664916888354432e-05,80
WDR1,7.21581875573907e-05,81
HNRNPA3,7.166061315495144e-05,82
STIP1,6.736572284620787e-05,83
NUDC,6.236023569815837e-05,84
STRAP,5.529161909764036e-05,85
COPS2,4.723081367392846e-05,86
COPS8,4.723081367392846e-05,86
GNAI2,4.6986949035544175e-05,88
PTGES3,4.6793491325095786e-05,89
GART,4.66779136788536e-05,90
FUS,4.635616897626311e-05,91
SH3BGRL3,4.5918177151785594e-05,92
DBNL,4.483023203093352e-05,93
IPO9,4.395025527385193e-05,94
PAICS,4.197232165176222e-05,95
PLP1,3.122523263879153e-05,96
PRMT5,2.5999364672187253e-05,97
DPYSL2,2.358269318174466e-05,98
HSPA5,2.239073912701132e-05,99
GNB4,2.140517598723685e-05,100
ETFA,1.9657814682156295e-05,101
CALR,1.74756988308381e-05,102
MRPL15,1.74756988308381e-05,102
MRPL37,1.74756988308381e-05,102
PPM1E,1.5276413903371484e-05,105
ACTR1A,1.485013528671871e-05,106
AP2A1,1.4516709088295987e-05,107
HNRNPD,1.4413366601815219e-05,108
GNB1,1.4411645833288402e-05,109
PFDN1,1.3539829232008238e-05,110
SNX5,1.2555600536577016e-05,111
GNB2,1.1794688809293777e-05,112
RUVBL1,1.1463809185570317e-05,113
OLA1,1.1463809185570317e-05,113
PPME1,1.1463809185570317e-05,113
AP2B1,1.091791351006697e-05,116
ACTR10,1.0810024951361415e-05,117
ACTR1B,1.0810024951361415e-05,117
DCTN4,1.0810024951361415e-05,117
P4HB,1.0810024951361415e-05,117
PDIA4,1.0810024951361415e-05,117
EIF3C,1.0810024951361415e-05,117
EXOC3,1.0810024951361415e-05,117
EXOC5,1.0810024951361415e-05,117
EXOC7,1.0810024951361415e-05,117
EXOC8,1.0810024951361415e-05,117
MRPS31,1.0810024951361415e-05,117
MRPS9,1.0810024951361415e-05,117
VPS50,1.0810024951361415e-05,117
VPS51,1.0810024951361415e-05,117
VPS52,1.0810024951361415e-05,117
VPS53,1.0810024951361415e-05,117
PDLIM5,1.0372017834563621e-05,133
EIF4A3,1.0154871924006178e-05,134
ETFB,9.607763888858933e-06,135
SACM1L,9.277596033873376e-06,136
VPS16,9.171047348456255e-06,137
SNX1,8.734330808053576e-06,138
HSPD1,7.85644143601962e-06,139
ANXA5,7.201737983017986e-06,140
ABCE1,6.985484072563484e-06,141
PALM,6.985484072563484e-06,141
PGK1,6.985484072563484e-06,141
