gene,score,rank
HSP90AA1,0.13561936299647975,1
PSMD2,0.11283017041309815,2
CCT2,0.10884186169721635,3
TCP1,0.1046829316510268,4
CCT4,0.08234342585360106,5
PSMD12,0.07011054346829745,6
PSMC5,0.06105796399556097,7
PSMC6,0.05155004248076992,8
CCT6A,0.04788486118808256,9
PSMC4,0.040474573378428295,10
CCT5,0.031670786406882916,11
CCT8,0.029009629359495172,12
CCT3,0.02552771759956415,13
EIF3A,0.020205014814072515,14
PSMD13,0.018802359370150862,15
EIF3C,0.016612346434995883,16
PSMD6,0.010368204490262836,17
CCT7,0.00868906992552015,18
IPO7,0.005303438755276434,19
TUBB,0.004224604431767038,20
PSMD3,0.003420457017590261,21
FASN,0.001325599074952254,22
EIF3B,0.001178310288846448,23
EIF3L,0.0008492781728710442,24
PSMD7,0.0007910883409700076,25
TNPO1,0.0007044330150149454,26
XPO1,0.0006911817003098803,27
PSMB1,0.0005144768827756634,28
IPO5,0.0005056131663720517,29
EIF2S1,0.0004726074148840723,30
COPB1,0.00037532395498854625,31
PAICS,0.0003408207269619015,32
RUVBL1,0.00031433639827461345,33
PSMC1,0.00029512899396796514,34
EIF3I,0.0002525917486135287,35
PSMA5,0.0002299434105707176,36
PSMA4,0.00021517074881893184,37
PSMB3,0.00019161950880893134,38
UBQLN1,0.0001634383848407167,39
GART,0.00012143723131302084,40
EEF2,0.00011760044498494205,41
SFPQ,9.800037082078503e-05,42
PSMB4,9.245942913846259e-05,43
ABCE1,8.213364411646745e-05,44
GMPS,7.460329450864129e-05,45
CSDE1,5.5952470881480965e-05,46
HNRNPL,5.5952470881480965e-05,46
ELAVL1,5.5952470881480965e-05,46
HNRNPA3,5.5952470881480965e-05,46
HSPA5,4.1964353161110734e-05,50
P4HB,4.1964353161110734e-05,50
ACTN1,2.515712843941672e-05,52
RPN1,2.515712843941672e-05,52
EIF2S2,1.956665545287967e-05,54
SORBS1,1.4907927964098795e-05,55
TPM1,1.4907927964098795e-05,55
CALR,1.4907927964098795e-05,55
PDIA4,1.4907927964098795e-05,55
CANX,1.4907927964098795e-05,55
RRBP1,1.4907927964098795e-05,55
RPL3,1.4907927964098795e-05,55
HNRNPD,1.4907927964098795e-05,55
HSPD1,1.4895197026469335e-05,63
DMXL2,1.4895197026469335e-05,63
DNAJA1,1.3044436968586448e-05,65
EIF3F,1.3044436968586448e-05,65
FKBP4,1.3044436968586448e-05,65
PSMA1,1.1180945973074097e-05,68
EEF1D,1.1180945973074097e-05,68
EIF4A3,1.1180945973074097e-05,68
RAN,8.378548327389e-06,71
EIF4G2,8.378548327389e-06,71
EIF3D,8.378548327389e-06,71
PDPK1,8.378548327389e-06,71
PRKCE,8.378548327389e-06,71
IMPDH2,3.723799256617334e-06,76
HSPH1,3.723799256617334e-06,76
C1QBP,3.723799256617334e-06,76
NUDC,3.723799256617334e-06,76
RUVBL2,3.723799256617334e-06,76
CSNK2A2,3.723799256617334e-06,76
DDX3X,3.723799256617334e-06,76
HUWE1,3.723799256617334e-06,76
PPA1,3.723799256617334e-06,76
GNB2,3.723799256617334e-06,76
KLC2,3.723799256617334e-06,76
MOB4,3.723799256617334e-06,76
RTN3,3.723799256617334e-06,76
OTUB1,3.723799256617334e-06,76
RAB15,3.723799256617334e-06,76
YWHAQ,3.723799256617334e-06,76
FLNA,9.309498141543334e-07,92
ADRM1,9.309498141543334e-07,92
UBQLN2,9.309498141543334e-07,92
AFDN,9.309498141543334e-07,92
KIF21A,9.309498141543334e-07,92
AIMP1,9.309498141543334e-07,92
APP,9.309498141543334e-07,92
CLSTN1,9.309498141543334e-07,92
ASRGL1,9.309498141543334e-07,92
UCHL1,9.309498141543334e-07,92
ATP1A1,9.309498141543334e-07,92
ATP1B1,9.309498141543334e-07,92
ATXN10,9.309498141543334e-07,92
IPO9,9.309498141543334e-07,92
PRDX3,9.309498141543334e-07,92
MDH2,9.309498141543334e-07,92
CAND1,9.309498141543334e-07,92
TECR,9.309498141543334e-07,92
VCP,9.309498141543334e-07,92
PDCD5,9.309498141543334e-07,92
PSMA7,9.309498141543334e-07,92
KPNB1,9.309498141543334e-07,92
RPS5,9.309498141543334e-07,92
NPM1,9.309498141543334e-07,92
CHMP5,9.309498141543334e-07,92
PIP4K2B,9.309498141543334e-07,92
CLIC4,9.309498141543334e-07,92
CNN3,9.309498141543334e-07,92
CLTC,9.309498141543334e-07,92
HTT,9.309498141543334e-07,92
MAPK1,9.309498141543334e-07,92
SYNCRIP,9.309498141543334e-07,92
CSNK2A1,9.309498141543334e-07,92
CTNNB1,9.309498141543334e-07,92
CTNND1,9.309498141543334e-07,92
DNAJB4,9.309498141543334e-07,92
HSPA4L,9.309498141543334e-07,92
PFKP,9.309498141543334e-07,92
DPYSL2,9.309498141543334e-07,92
DPYSL3,9.309498141543334e-07,92
MTHFD1,9.309498141543334e-07,92
PTGES3,9.309498141543334e-07,92
PDAP1,9.309498141543334e-07,92
HNRNPF,9.309498141543334e-07,92
EPS15L1,9.309498141543334e-07,92
ITSN1,9.309498141543334e-07,92
FGB,9.309498141543334e-07,92
FGG,9.309498141543334e-07,92
FMNL1,9.309498141543334e-07,92
GNAI2,9.309498141543334e-07,92
GDI1,9.309498141543334e-07,92
OXR1,9.309498141543334e-07,92
PPP2R1A,9.309498141543334e-07,92
GDI2,9.309498141543334e-07,92
UBA1,9.309498141543334e-07,92
GNB1,9.309498141543334e-07,92
RAP1A,9.309498141543334e-07,92
RANBP1,9.309498141543334e-07,92
PCBP2,9.309498141543334e-07,92
ITGB1,9.309498141543334e-07,92
RAP1B,9.309498141543334e-07,92
KALRN,9.309498141543334e-07,92
LIN7A,9.309498141543334e-07,92
LIN7C,9.309498141543334e-07,92
RTN1,9.309498141543334e-07,92
SH3GL2,9.309498141543334e-07,92
YWHAE,9.309498141543334e-07,92
PFDN2,9.309498141543334e-07,92
PFDN6,9.309498141543334e-07,92
PI4KA,9.309498141543334e-07,92
VPS13A,9.309498141543334e-07,92
PSMA3,9.309498141543334e-07,92
RAB35,9.309498141543334e-07,92
RAB6A,9.309498141543334e-07,92
TWF2,9.309498141543334e-07,92
WDR1,9.309498141543334e-07,92
YWHAB,9.309498141543334e-07,92
YWHAG,9.309498141543334e-07,92
