gene,score,rank
PSMC2,0.13378038886012883,1
PSMC6,0.11200691788487085,2
PSMA4,0.0822050643681771,3
CCT3,0.05110049004725194,4
CCT8,0.04974396481391305,5
CCT2,0.04701741137241067,6
PSMA7,0.04701655009988884,7
CCT6A,0.03519460278140831,8
CCT7,0.035149421446890025,9
PSMD3,0.034096464445693885,10
CCT4,0.030534780263034147,11
PSMC4,0.025414795586179838,12
PSMA3,0.023408464684930935,13
PSMD2,0.023092575587271225,14
PSMC5,0.022663474131842772,15
CCT5,0.021863088261078967,16
PSMC1,0.019452256984523294,17
PSMB1,0.019293765196337756,18
PSMD13,0.019044761161461483,19
EIF2S1,0.018751966415288614,20
PSMD8,0.01384949727636527,21
TCP1,0.012279929859191109,22
PSMD6,0.0121417016133987,23
PSMA5,0.009528902098085691,24
PSMA6,0.009035359807717637,25
PSMA1,0.008989117184339796,26
PSMD7,0.007982929893847286,27
ARHGDIA,0.005484790400752146,28
STIP1,0.00535165419519718,29
DBNL,0.005092004499661558,30
ACTR2,0.004824107407459014,31
CORO1A,0.004469442719532932,32
PSMD4,0.004308283137079944,33
PSMB2,0.004093387797901553,34
PSMB4,0.0036825304488541377,35
PSMD12,0.0035180357930768443,36
ABCE1,0.0031247479750463217,37
GDI2,0.0022597283010764003,38
EEF2,0.001953042255440451,39
GRB2,0.0019184679151507593,40
YWHAB,0.0017946888068855781,41
COTL1,0.0017748945667926184,42
ARPC3,0.0014588003263065902,43
TWF2,0.0013608529148224266,44
WDR1,0.001277619767057937,45
CIAPIN1,0.0012689888416134271,46
PAICS,0.0012305678909644985,47
ARPC5,0.0011119743138291844,48
EIF3B,0.0008935520308583125,49
GSPT1,0.0006997934061514782,50
GART,0.0006771142841755164,51
STRAP,0.0006050712942013771,52
EFHD2,0.0005101552569921942,53
ALDOA,0.0005060380879248945,54
EIF3I,0.0004717166213989018,55
NUDC,0.0004524524943591748,56
PSMB3,0.00038698418573489686,57
EIF3L,0.0003835082798750026,58
ATP6V1A,0.0003542741702773073,59
MAPK1,0.00033300402164131393,60
COPS6,0.0003258581944540477,61
ETFA,0.00031094841165215536,62
ATP6V1E1,0.0003096177622591593,63
CAP1,0.0003065122508822149,64
EIF3F,0.0003046811992048892,65
EIF3D,0.00028166490824277053,66
EIF3A,0.0002806731303968453,67
MTHFD1,0.0002603785555221896,68
ATP6V1B2,0.00024997340944420094,69
SGTA,0.00024091482858762438,70
ATP6V1H,0.00023711776343548742,71
AIMP1,0.00023461070597861647,72
OTUB1,0.00021784643416012335,73
UBE2K,0.00021262163881611648,74
GNAI2,0.00018159158322836585,75
ATP6V1C1,0.0001597139928369625,76
ETFB,0.00015142543654860185,77
UBE2N,0.00013654048981224075,78
HIBADH,0.00013056527816942222,79
IPO7,0.0001293208466658589,80
COPS2,0.00012582352581667604,81
CAPZA2,0.0001253967988950254,82
RANBP1,0.0001088496208076116,83
MDH2,0.0001049526106480172,84
C1QBP,9.305762444315041e-05,85
PAFAH1B1,9.199201306788274e-05,86
PGAM1,8.970776142253498e-05,87
COPS4,8.904941538794894e-05,88
COPS3,8.822488376398646e-05,89
EEF1D,8.511525949737637e-05,90
OLA1,7.912137524628395e-05,91
ADSL,7.123953231035916e-05,92
COPS5,7.057990701118917e-05,93
ATP6V1D,6.992028171201919e-05,94
PPP3CB,6.67878690164792e-05,95
MTPN,6.327274330074078e-05,96
MDH1,6.19784106095891e-05,97
SIRPA,5.768577630991943e-05,98
ACAP2,5.5363650388148176e-05,99
HSPD1,5.274897401144859e-05,100
MRPL12,4.8615058671371216e-05,101
CSDE1,4.5477284247407436e-05,102
ENSA,4.116531487715839e-05,103
EIF2S2,3.95349682276955e-05,104
MAPK3,3.823285970087499e-05,105
MRPL15,3.823285970087499e-05,105
MRPS31,3.823285970087499e-05,105
RAB35,3.7897736872839534e-05,108
TOM1,3.7558219816310724e-05,109
GNB2,3.691448522843102e-05,110
NPTN,3.691448522843102e-05,110
MAP2K1,3.21221616850026e-05,112
ATG3,2.7173074426044262e-05,113
CACYBP,2.6359796635071345e-05,114
LASP1,2.6356645485130332e-05,115
PRDX3,2.6356645485130332e-05,115
RGS14,2.5697729348002072e-05,117
RAB5B,2.5697729348002072e-05,117
IPO5,2.5038813210873823e-05,119
DNAJC5,2.5038813210873823e-05,119
EXOC8,2.239720073904254e-05,121
PFDN2,2.238798336985592e-05,122
EXOC7,2.1079718342628276e-05,123
ATP6V0D1,2.0741808122072397e-05,124
SNX5,1.975935114103602e-05,125
HNRNPA3,1.8446959354758445e-05,126
UBE2M,1.8432264485383968e-05,127
PGK1,1.8112738545949686e-05,128
PDCD5,1.7289432248406522e-05,129
PPP5C,1.679098752739194e-05,130
TOLLIP,1.646612595086335e-05,131
ROGDI,1.646612595086335e-05,131
ALDH5A1,1.6303844655626556e-05,133
SUCLA2,1.6303844655626556e-05,133
MRPL37,1.6303844655626556e-05,133
MRPS9,1.6303844655626556e-05,133
EXOC3,1.580978875697121e-05,137
EXOC5,1.580978875697121e-05,137
LRRC47,1.5799083844614834e-05,139
GNB1,1.5315732858315857e-05,140
DENR,1.3831545798725216e-05,141
SNX2,1.3172900760690682e-05,142
AHSA1,1.2514255722656149e-05,143
FASN,1.2346314358376425e-05,144
GOT1,1.2346314358376425e-05,144
RAN,1.0535521585814551e-05,146
TIMM8B,1.0535521585814551e-05,146
SFPQ,1.0535521585814551e-05,146
USP5,9.87705148670114e-06,149
IMPA1,9.218581387587731e-06,150
PYGB,9.218581387587731e-06,150
YWHAG,9.051558452643916e-06,152
YWHAE,8.228689502403559e-06,153
ELAVL1,7.407788615025855e-06,154
FUS,7.407788615025855e-06,154
HNRNPL,7.407788615025855e-06,154
PFDN6,7.405820552163203e-06,157
CMPK1,7.405820552163203e-06,157
FLII,6.913936040690798e-06,159
SNX6,6.913936040690798e-06,159
DMXL2,6.913936040690798e-06,159
VPS50,6.582951601922846e-06,162
GLRX3,5.924656441730562e-06,163
SUGT1,5.924656441730562e-06,163
TIPRL,4.443492331297921e-06,165
GIT2,4.443492331297921e-06,165
SH3BGRL3,4.443492331297921e-06,165
PPA2,4.443492331297921e-06,165
RAB5C,4.443492331297921e-06,165
IPO9,3.949770961153708e-06,170
VPS16,3.949770961153708e-06,170
IGBP1,3.949770961153708e-06,170
ARL8B,3.949770961153708e-06,170
CLTC,3.949770961153708e-06,170
PFDN1,3.949770961153708e-06,170
THOP1,3.949770961153708e-06,170
PPP2R1A,3.456049591009494e-06,177
RAB3A,3.456049591009494e-06,177
PRMT5,2.633180640769139e-06,179
ACTN4,2.633180640769139e-06,179
PCMT1,2.633180640769139e-06,179
TMEM30A,2.633180640769139e-06,179
WDR7,2.633180640769139e-06,179
VPS52,2.633180640769139e-06,179
VPS53,2.633180640769139e-06,179
HSPA5,2.633180640769139e-06,179
P4HB,2.633180640769139e-06,179
PDIA4,2.633180640769139e-06,179
