gene,score,rank
MDH2,0.04646183634653955,1
ALDH5A1,0.0437252497632863,2
PSMD2,0.042618466118412565,3
PSMD6,0.04246694796466213,4
PSMD13,0.04244644243691481,5
PSMC1,0.04187890529185581,6
ETFA,0.04040677285063331,7
PSMC5,0.03822682842556801,8
PSMC2,0.037672592956823354,9
ETFB,0.03701729580870831,10
PSMC4,0.034141347447154295,11
CCT2,0.025768862034276176,12
CCT3,0.025768862034276176,12
CCT4,0.025768862034276176,12
CCT5,0.025768862034276176,12
TCP1,0.025752786636874882,16
CCT8,0.02573671123947359,17
PSMD3,0.022814184409931684,18
PRDX3,0.021292004984755412,19
PSMA5,0.020658536206951978,20
PSMB1,0.020622979346010577,21
PSMC6,0.019832093883016915,22
PSMA7,0.018378946344375712,23
PSMA1,0.018363143295068423,24
CCT6A,0.017325383692495925,25
CCT7,0.017325383692495925,25
HSPD1,0.01586772798606011,27
BPHL,0.01583633782189382,28
HIBADH,0.015257429580514537,29
PSMB3,0.013529202431883217,30
PSMA4,0.01350178763465549,31
AUH,0.013044497877947923,32
STIP1,0.011108296540298341,33
PSMA6,0.01105206946762237,34
PSMB4,0.00859354625380937,35
ABAT,0.008437330653043626,36
EIF3B,0.0075819434115447365,37
EIF3C,0.006739505254706431,38
EIF3A,0.006368753972067698,39
EIF3L,0.0057725608942615254,40
EIF3I,0.0040801001211368156,41
NTM,0.0036593020384061968,42
PSMA3,0.003231248536075688,43
EIF3D,0.002683225750321067,44
PSMD12,0.0026737443872457277,45
LSAMP,0.002258453614662363,46
QDPR,0.0022029919396012276,47
ATP6V1E1,0.0021407081222096203,48
ALDH9A1,0.0021090452593612767,49
ABR,0.0020892367572656837,50
ATP6V1A,0.0020748314406678564,51
ATP6V1H,0.0019136319803999486,52
ATP6V1B2,0.0017770473645759594,53
EIF4G2,0.0014074393489744192,54
HNRNPL,0.0011575955993223567,55
PGM2L1,0.0011173660526305365,56
SFPQ,0.0010779296037141646,57
CORO1A,0.0010297621589747705,58
COPS4,0.0010241047332323876,59
PFKP,0.0009590528090254277,60
PGM1,0.0009495636709539104,61
KCNAB2,0.0009216671648255254,62
PCYT2,0.0008676836643682743,63
PIP5K1C,0.0008139792287532774,64
COPS2,0.0008117674215713606,65
COPS3,0.0008117674215713606,65
COPS5,0.0008117674215713606,65
