gene,score,rank
PSMD13,0.06699241686266307,1
PSMD3,0.0623589471603153,2
PSMD8,0.062354098851563906,3
PSMD7,0.0577903777151073,4
PSMD2,0.05554280281827259,5
PSMC4,0.055533800013698766,6
PSMC1,0.05552929861141184,7
PSMC5,0.051193739040116884,8
PSMC2,0.04372894544921908,9
PSMC6,0.042461718890368476,10
PSMD6,0.02963272153051781,11
PSMD4,0.02524050674255021,12
PSMD12,0.01880248411261216,13
ACTR2,0.018171648671045128,14
PSMD14,0.01805666248422108,15
PSMA4,0.015445174829332711,16
ARPC3,0.014330855610122688,17
CORO1A,0.01318713165105353,18
PSMA7,0.012959244303426001,19
CCT3,0.01031408609995295,20
SH3BGRL3,0.009678729434154697,21
ARPC5,0.009636026392149794,22
CCT2,0.009583748665546421,23
PSMB1,0.00865266554249276,24
CCT4,0.008578036204985127,25
CCT6A,0.008578036204985127,25
PSMA3,0.007729911619407234,27
CCT8,0.007269532496004898,28
CCT5,0.006947169003452218,29
CCT7,0.006947169003452218,29
PSMB3,0.006947169003452218,29
PSMA1,0.006939149954968048,32
SH3GLB1,0.0067534173458023514,33
PSMA5,0.00599661186268004,34
TWF2,0.005826873929934214,35
HSPD1,0.005750455731804138,36
EPB41L3,0.005437075584800924,37
REPS1,0.005319523532377182,38
TCP1,0.005319523532377182,38
PSMB4,0.005319523532377182,38
PSMA6,0.0053147908601953505,41
AP2A1,0.004901624463556204,42
NTM,0.004749545773028702,43
COTL1,0.004265673339266234,44
EIF3D,0.004197447557105615,45
ETFB,0.004108838691788847,46
RPS5,0.0037971640790143758,47
MDH2,0.0037428993564334384,48
DBNL,0.003732779626589924,49
ETFA,0.0035960827332228618,50
PRDX3,0.003456871318426612,51
EIF3L,0.0033603079113567694,52
EIF3A,0.003357958045684492,53
EIF3C,0.003357958045684492,53
CNTNAP1,0.003256772735343093,55
AP2B1,0.003096547206290881,56
EIF3I,0.002939431065541279,57
HIBADH,0.002790038379249581,58
ALDH5A1,0.002629169383931359,59
WDR1,0.002611544700504385,60
EIF3F,0.0025699511439256934,61
EIF3B,0.002567900105502768,62
ATL1,0.002498872641332574,63
VCAN,0.00239698702744127,64
ABR,0.00204978359524182,65
ADRM1,0.0020197165571470164,66
CAP1,0.001811782167711594,67
CLIC4,0.0017655337082629434,68
MYO18A,0.0015449810984431594,69
EFHD2,0.0015052803294045064,70
CNN3,0.0013343492277036971,71
ZYX,0.0013277936113399004,72
PPA2,0.0011109194858165044,73
PSMB2,0.0011109194858165044,73
ANXA5,0.0010821216884410582,75
LSAMP,0.0010574827453190367,76
SNX6,0.0009021180982071601,77
DPYSL2,0.0008698207474341518,78
RAB11FIP5,0.000850254381047738,79
PDLIM5,0.0007998665018542254,80
GNAI2,0.0007102953894420409,81
KCNAB2,0.0006718841520839105,82
TMOD2,0.0006630570187529845,83
AP2A2,0.0006216883716462121,84
ATP6V1B2,0.0006190077762484157,85
CNRIP1,0.0006124451869996592,86
ATG7,0.0006056818584270628,87
RPL3,0.0005947605716783127,88
SGTB,0.0005143107191833876,89
CAMK4,0.0004768024863167464,90
BASP1,0.00046973109279486536,91
EHD4,0.0004329966077103512,92
RGS14,0.00043080245323096663,93
ATP1A3,0.00043015361312802444,94
C1QBP,0.0003800203972412073,95
CTNND2,0.000379012872936717,96
ARHGAP1,0.00037656545256998776,97
CTNNB1,0.0003675527550145437,98
CRMP1,0.0003310033762251053,99
ELAVL1,0.00032027074134369926,100
AP2S1,0.00031622761460179397,101
THY1,0.0003041719868223598,102
ATP6V1E1,0.00029589740124271607,103
EHD1,0.00027615423887861705,104
HNRNPL,0.00027104286970859175,105
SH3GL2,0.0002661080859568176,106
GNB4,0.00026350479004298895,107
CSRP1,0.00026296992324429595,108
GNB1,0.0002525780161131793,109
MRPL15,0.000248414843704746,110
ATP6V1H,0.0002414044794974736,111
HNRNPA3,0.00023793103374930845,112
SFPQ,0.00023793103374930845,112
MRPS9,0.00022571627116623773,114
CAPZA2,0.00022064735702132367,115
ARHGDIA,0.000206582983164194,116
ATP6V1C1,0.0002013235204457779,117
ATP6V1A,0.0001909906909868165,118
MRPS31,0.00018809689263853143,119
BZW1,0.00018392099484346245,120
FSD1,0.00017788982328376002,121
PIP5K1C,0.00016801006030182523,122
CACYBP,0.00016762238566249408,123
ATP2B4,0.00016664941269323172,124
SIRPA,0.00016422357729517137,125
MRPL12,0.00016343073139635702,126
COPS2,0.0001576052550152312,127
COPS4,0.0001576052550152312,127
FUS,0.0001576052550152312,127
GIT2,0.00015606222113404624,130
MAPRE3,0.0001527229015056518,131
PSMB5,0.00015182157593210345,132
ACTR10,0.00014227357946385198,133
RAP1A,0.00014053853581185382,134
STIP1,0.0001341322340986167,135
HSPA12A,0.00013151867767500174,136
COPS3,0.0001249274681955594,137
COPS5,0.0001249274681955594,137
COPS6,0.0001249274681955594,137
ATP2B1,0.00012490243906956695,140
IDH3G,0.00012377073237893385,141
MTMR9,0.00012339363218687537,142
MRPL37,0.00012261399656230833,143
GLRX5,0.00012145726074568275,144
NEGR1,0.0001214329268731901,145
PALM,0.00011796341467681323,146
DCTN4,0.00011711544650987818,147
RAP1GDS1,0.00010229823370996223,148
ITSN1,0.00010229823370996223,148
ACTR1A,0.00010229823370996223,148
NPTN,0.00010119410572765843,151
CAPN2,0.00010056436534199678,152
SNX3,9.936651841186814e-05,153
CPT2,9.883049697403132e-05,154
UQCRB,9.303550369302236e-05,155
STX7,8.843525864262619e-05,156
SH3GL1,8.316926802877092e-05,157
AKAP5,8.290171739594813e-05,158
CALB2,7.974471745116201e-05,159
PTGES3,7.974471745116201e-05,159
PFDN5,7.801113663700631e-05,161
PFDN2,7.801113663700631e-05,161
LIN7C,7.077614146412549e-05,163
FKBP4,6.759234101272427e-05,164
DCTN6,6.704291022799786e-05,165
TOM1,5.543697696393478e-05,166
SMAP2,5.3438389262196524e-05,167
HSP90AA1,5.312710292377084e-05,168
ANXA6,4.909297071142728e-05,169
DCTN5,4.764905980815001e-05,170
CDK14,4.6205148904872735e-05,171
DTNA,4.506156067514951e-05,172
PFDN6,4.506156067514951e-05,172
OLA1,4.446507527315602e-05,174
EXOC7,3.9274376569141826e-05,175
EXOC8,3.9274376569141826e-05,175
VPS50,3.9274376569141826e-05,175
ACTR1B,3.811924784652001e-05,178
ATG3,3.811924784652001e-05,178
EXOC5,3.811924784652001e-05,178
HNRNPD,3.811924784652001e-05,178
LRP1,3.636187379789986e-05,182
PLCL2,3.232995108021425e-05,183
STMN1,3.117530997020659e-05,184
GRB2,3.031709677715184e-05,185
VPS51,2.8589435884890004e-05,186
VPS52,2.8589435884890004e-05,186
VPS53,2.8589435884890004e-05,186
EXOC3,2.772308934292364e-05,189
GNB2,2.772308934292364e-05,189
PYGM,2.7711386640183638e-05,191
NUDC,2.7711386640183638e-05,191
STRAP,2.7711386640183638e-05,191
VDAC1,2.74297542269469e-05,194
ATPAF1,2.6856742800957277e-05,195
ATP6V1D,2.6856742800957277e-05,195
PFDN1,2.6856742800957277e-05,195
AUH,2.5990396258990915e-05,198
EIF4A3,2.5990396258990915e-05,198
WDFY3,2.45361235876626e-05,200
ATP1B1,2.425367742172147e-05,201
TCP11L1,2.3092822200153035e-05,202
MAPK3,2.3092822200153035e-05,202
MAPK1,2.3092822200153035e-05,202
ARRB1,2.1943803381557524e-05,205
SNX1,2.1649520812643472e-05,206
LASP1,2.077821359879992e-05,207
RRBP1,2.077821359879992e-05,207
ACTN1,1.9046695798899925e-05,209
RAN,1.9046695798899925e-05,209
USP5,1.8474257760122426e-05,211
HSPA5,1.8474257760122426e-05,211
ATP1A1,1.6164975540107123e-05,213
AHSA1,1.587224649908327e-05,214
CAMK2G,1.4429314999166611e-05,215
SNX2,1.4429314999166611e-05,215
SLC25A3,1.4429314999166611e-05,215
RANBP1,1.4429314999166611e-05,215
DDHD1,1.4137103800772824e-05,219
SNX4,1.4137103800772824e-05,219
RAB3A,1.4137103800772824e-05,219
ARPC5L,1.2989712487586081e-05,222
TPM1,1.298638349924995e-05,223
PIP4K2A,1.298638349924995e-05,223
TIMM8B,1.2123731655080342e-05,225
PDIA4,1.2123731655080342e-05,225
NDEL1,1.154345199933329e-05,227
MINDY2,1.038910679939996e-05,228
APBB1,1.038910679939996e-05,228
FLNA,1.038910679939996e-05,228
SORBS1,1.038910679939996e-05,228
HSPH1,1.038910679939996e-05,228
ATP2B2,1.038910679939996e-05,228
TIMM9,1.0386443608731055e-05,234
FIS1,1.0386443608731055e-05,234
MAP1A,9.234761599466632e-06,236
MGLL,7.79183009954997e-06,237
VPS11,7.79183009954997e-06,237
DPYSL3,7.79183009954997e-06,237
CANX,7.79183009954997e-06,237
SBF1,7.79183009954997e-06,237
ATP6AP2,7.79183009954997e-06,237
ATP6V0D1,7.79183009954997e-06,237
ERGIC1,7.79183009954997e-06,237
CALR,7.79183009954997e-06,237
VAT1,7.212808061618788e-06,246
ELMO2,7.212808061618788e-06,246
SNAP25,7.212808061618788e-06,246
ARL8B,7.212808061618788e-06,246
DNAJA1,7.212808061618788e-06,246
EIF4G2,7.212808061618788e-06,246
HNRNPLL,7.212808061618788e-06,246
WASF1,7.212808061618788e-06,246
RAB15,7.212808061618788e-06,246
TIPRL,6.926071199599973e-06,255
OTUB1,6.926071199599973e-06,255
VPS18,6.926071199599973e-06,255
PI4KA,6.926071199599973e-06,255
OSBPL8,6.926071199599973e-06,255
ARPC1A,6.926071199599973e-06,255
RAB12,6.926071199599973e-06,255
NRCAM,6.926071199599973e-06,255
FARP1,6.926071199599973e-06,255
CSE1L,6.926071199599973e-06,255
P4HB,6.926071199599973e-06,255
PYGB,6.926071199599973e-06,255
WBP2,6.060312299649976e-06,267
AKAP12,6.060312299649976e-06,267
PDCD5,6.060312299649976e-06,267
MSRA,4.617380799733316e-06,270
CORO1C,4.617380799733316e-06,270
ANK3,4.617380799733316e-06,270
PAFAH1B2,4.617380799733316e-06,270
ATP6V0C,4.617380799733316e-06,270
TPD52,4.617380799733316e-06,270
RABGGTA,4.617380799733316e-06,270
FAF2,4.617380799733316e-06,270
XPO1,4.617380799733316e-06,270
VAPA,4.617380799733316e-06,270
VPS13C,4.616197159436024e-06,280
TRAPPC6B,4.616197159436024e-06,280
EPS15,4.616197159436024e-06,280
COPB1,4.616197159436024e-06,280
EIF5,4.616197159436024e-06,280
SUGT1,4.616197159436024e-06,280
