gene,score,rank
PSMC4,0.0857963167988123,1
CCT7,0.06906960921448758,2
PSMA6,0.06834460600181284,3
PSMA7,0.06468018912671616,4
EIF2S1,0.06456656921074815,5
PSMC1,0.06310175777814532,6
CCT4,0.054543039549446726,7
PSMC2,0.05381911275535016,8
PSMD14,0.05293663481947415,9
CCT8,0.047600967705199615,10
CCT3,0.04578117014112054,11
PSMC5,0.035671150637435985,12
PSMD2,0.03508358452643588,13
TCP1,0.034439450182992805,14
CCT2,0.030983367651073006,15
CCT5,0.019003386335139375,16
HSP90AA1,0.018102883917481827,17
PSMC6,0.014644449203730243,18
PSMA1,0.010738435319451784,19
PSMD13,0.010359577739543876,20
PSMD7,0.009886921611409036,21
CCT6A,0.009668074709162101,22
PSMA4,0.009053063207789692,23
EIF3B,0.008465175669901475,24
RUVBL1,0.006530332938496159,25
EIF3I,0.005984612662180835,26
IMPDH2,0.005116061597812749,27
PSMB1,0.004822225987212393,28
PSMD4,0.004273167208441597,29
PSMA5,0.004124872153134342,30
RUVBL2,0.0037517539448303156,31
PSMD12,0.003751108137769364,32
KPNB1,0.003514098514806377,33
IPO7,0.002273522188787928,34
PRMT5,0.002172010492389235,35
PSMD6,0.0016473802768232862,36
CSE1L,0.001594818318686742,37
TMOD2,0.0015736973026852904,38
XPO1,0.0015028833979064042,39
RPS5,0.0012640744122226352,40
RAN,0.001128386276598612,41
RABEP1,0.001090974565012248,42
MDH2,0.001084764781727348,43
HSPA12A,0.0010677778497556725,44
PSMA3,0.0009896617667923928,45
ABCE1,0.0009884824690510727,46
ETFB,0.0009266057521609522,47
ITSN1,0.000889453577180133,48
HIBADH,0.0008630937630336261,49
MAP1A,0.0008230019029631306,50
PPP1R21,0.0007693883446749971,51
EIF3D,0.0007317356708792883,52
HSPD1,0.0006964241097190886,53
EIF2S2,0.0006294761708082884,54
ETFA,0.0005903797816612457,55
TNPO1,0.0005885062688068411,56
RPL3,0.0005626504875010852,57
RPN1,0.0005481479033127173,58
RRBP1,0.0005469050668231676,59
ADD1,0.0005456756827360582,60
PSMD3,0.0005299545814167035,61
EPB41L3,0.00048068560691822814,62
MAP1LC3A,0.00047925039504566065,63
EPS15L1,0.0004603561040839291,64
EIF3A,0.0004212816176507015,65
LMAN1,0.0003695486449872506,66
PRDX3,0.00036762215438228616,67
PSMB2,0.0003664660837057502,68
MAP1B,0.00035296842695947423,69
ALDH5A1,0.0003520788442327424,70
DPYSL2,0.0003361619097100347,71
CANX,0.0003259936313036142,72
PPA2,0.0003226761750221671,73
ACAD8,0.0003088819951288653,74
IPO5,0.00030830679588281527,75
STIP1,0.00027354452762073657,76
PSMB4,0.0002692651470571696,77
LRRC59,0.0002430009366929928,78
QDPR,0.0002353101852210073,79
PSMB3,0.0002348937489353456,80
PRKAR2B,0.00020917069830900774,81
AIMP1,0.00020912188919932668,82
IQSEC1,0.0001878877889249981,83
SUCLA2,0.00015423115285948818,84
PALM,0.00015158286999953987,85
CALR,0.00014868904797379768,86
PSMD8,0.00014760461248129405,87
HNRNPL,0.00014282307895951824,88
ERP44,0.000141714103317815,89
P4HB,0.00014121157103654612,90
PDIA4,0.00014121157103654612,90
BZW1,0.00013779117244928335,92
GMPS,0.0001351598533373204,93
DNM1,0.00013488463384988801,94
UCHL1,0.00013025571770596315,95
