Database	Accession	Data Type	Species	Title	Url	Description	Update Date	Attributes
deg	DEG10480311	gene	[Escherichia coli ST131 strain EC958]	DEG10480311	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480311	50S ribosomal subunit protein L11	2019-08-26T08:18:18.000Z	{"GeneName":"acrF","refseq":"HG941718"}
deg	DEG10480305	gene	[Escherichia coli ST131 strain EC958]	DEG10480305	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480305	hypothetical protein	2019-08-26T08:18:18.000Z	{"GeneName":"yjgQ","refseq":"HG941718"}
deg	DEG10480304	gene	[Escherichia coli ST131 strain EC958]	DEG10480304	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480304	hypothetical protein	2019-08-26T08:18:18.000Z	{"GeneName":"yjgP","refseq":"HG941718"}
deg	DEG10480303	gene	[Escherichia coli ST131 strain EC958]	DEG10480303	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480303	valyl-tRNA synthetase	2019-08-26T08:18:18.000Z	{"GeneName":"valS","refseq":"HG941718"}
deg	DEG10480302	gene	[Escherichia coli ST131 strain EC958]	DEG10480302	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480302	inorganic pyrophosphatase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480301	gene	[Escherichia coli ST131 strain EC958]	DEG10480301	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480301	hypothetical protein	2019-08-26T08:18:18.000Z	{"GeneName":"yjeE","refseq":"HG941718"}
deg	DEG10480300	gene	[Escherichia coli ST131 strain EC958]	DEG10480300	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480300	oligoribonuclease	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480299	gene	[Escherichia coli ST131 strain EC958]	DEG10480299	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480299	phosphatidylserine decarboxylase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480298	gene	[Escherichia coli ST131 strain EC958]	DEG10480298	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480298	GroEL (chaperone Hsp60)	2019-08-26T08:18:18.000Z	{"GeneName":"groEL","refseq":"HG941718"}
deg	DEG10480297	gene	[Escherichia coli ST131 strain EC958]	DEG10480297	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480297	GroES (10 Kd chaperone protein)	2019-08-26T08:18:18.000Z	{"GeneName":"groE","refseq":"HG941718"}
deg	DEG10480296	gene	[Escherichia coli ST131 strain EC958]	DEG10480296	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480296	transcriptional activator	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480295	gene	[Escherichia coli ST131 strain EC958]	DEG10480295	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480295	ECSF_4008-type fimbriae periplasmic chaperone protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480294	gene	[Escherichia coli ST131 strain EC958]	DEG10480294	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480294	single strand DNA-binding protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480293	gene	[Escherichia coli ST131 strain EC958]	DEG10480293	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480293	replicative DNA helicase	2019-08-26T08:18:18.000Z	{"GeneName":"dnaB","refseq":"HG941718"}
deg	DEG10480292	gene	[Escherichia coli ST131 strain EC958]	DEG10480292	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480292	LexA repressor	2019-08-26T08:18:18.000Z	{"GeneName":"lexA","refseq":"HG941718"}
deg	DEG10480291	gene	[Escherichia coli ST131 strain EC958]	DEG10480291	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480291	glycerol-3-phosphate acyltransferase	2019-08-26T08:18:18.000Z	{"GeneName":"plsB","refseq":"HG941718"}
deg	DEG10480290	gene	[Escherichia coli ST131 strain EC958]	DEG10480290	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480290	4-hydroxybenzoate-octaprenyltransferase	2019-08-26T08:18:18.000Z	{"GeneName":"ubiA","refseq":"HG941718"}
deg	DEG10480289	gene	[Escherichia coli ST131 strain EC958]	DEG10480289	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480289	glutamate racemase	2019-08-26T08:18:18.000Z	{"GeneName":"murI","refseq":"HG941718"}
deg	DEG10480288	gene	[Escherichia coli ST131 strain EC958]	DEG10480288	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480288	primosomal protein N	2019-08-26T08:18:18.000Z	{"GeneName":"priA","refseq":"HG941718"}
deg	DEG10480287	gene	[Escherichia coli ST131 strain EC958]	DEG10480287	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480287	probable GTP-binding cell division protein	2019-08-26T08:18:18.000Z	{"GeneName":"yihA","refseq":"HG941718"}
deg	DEG10480286	gene	[Escherichia coli ST131 strain EC958]	DEG10480286	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480286	protoporphyrinogen oxidase	2019-08-26T08:18:18.000Z	{"GeneName":"hemG","refseq":"HG941718"}
deg	DEG10480285	gene	[Escherichia coli ST131 strain EC958]	DEG10480285	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480285	putative oxidoreductase	2019-08-26T08:18:18.000Z	{"GeneName":"yigC","refseq":"HG941718"}
deg	DEG10480284	gene	[Escherichia coli ST131 strain EC958]	DEG10480284	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480284	2-octaprenylphenol hydroxylase	2019-08-26T08:18:18.000Z	{"GeneName":"ubiB","refseq":"HG941718"}
deg	DEG10480283	gene	[Escherichia coli ST131 strain EC958]	DEG10480283	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480283	porphobilinogen deaminase	2019-08-26T08:18:18.000Z	{"GeneName":"hemC","refseq":"HG941718"}
deg	DEG10480282	gene	[Escherichia coli ST131 strain EC958]	DEG10480282	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480282	uroporphyrinogen-III synthase	2019-08-26T08:18:18.000Z	{"GeneName":"hemD","refseq":"HG941718"}
